schedule_index,episode_id,partition,layout_id,planner,profile_id
65,discovery__discovery_06__tr__tau_y_300,discovery,discovery_06,tr,tau_y_300
66,holdout__holdout_05__tr__tau_y_150,holdout,holdout_05,tr,tau_y_150
67,discovery__discovery_16__tr__tau_x_300,discovery,discovery_16,tr,tau_x_300
68,discovery__discovery_15__teb__delay_050,discovery,discovery_15,teb,delay_050
69,holdout__holdout_11__tr__tau_y_500,holdout,holdout_11,tr,tau_y_500
70,discovery__discovery_06__teb__tau_y_150,discovery,discovery_06,teb,tau_y_150
71,discovery__discovery_16__teb__delay_050,discovery,discovery_16,teb,delay_050
72,holdout__holdout_02__teb__tau_w_100,holdout,holdout_02,teb,tau_w_100
73,holdout__holdout_17__teb__e0,holdout,holdout_17,teb,e0
74,discovery__discovery_13__teb__tau_y_500,discovery,discovery_13,teb,tau_y_500
75,holdout__holdout_04__tr__tau_x_300,holdout,holdout_04,tr,tau_x_300
76,holdout__holdout_20__tr__tau_y_500,holdout,holdout_20,tr,tau_y_500
77,holdout__holdout_14__teb__tau_w_300,holdout,holdout_14,teb,tau_w_300
78,holdout__holdout_17__tr__e0,holdout,holdout_17,tr,e0
79,discovery__discovery_02__teb__tau_x_100,discovery,discovery_02,teb,tau_x_100
80,discovery__discovery_13__tr__delay_100,discovery,discovery_13,tr,delay_100
81,discovery__discovery_03__teb__delay_050,discovery,discovery_03,teb,delay_050
82,holdout__holdout_05__teb__tau_w_300,holdout,holdout_05,teb,tau_w_300
83,holdout__holdout_15__teb__delay_200,holdout,holdout_15,teb,delay_200
84,discovery__discovery_05__teb__tau_y_300,discovery,discovery_05,teb,tau_y_300
85,discovery__discovery_16__tr__tau_y_300,discovery,discovery_16,tr,tau_y_300
86,holdout__holdout_05__teb__tau_y_150,holdout,holdout_05,teb,tau_y_150
87,discovery__discovery_17__teb__tau_y_500,discovery,discovery_17,teb,tau_y_500
88,discovery__discovery_09__tr__e0,discovery,discovery_09,tr,e0
89,discovery__discovery_05__teb__delay_050,discovery,discovery_05,teb,delay_050
90,holdout__holdout_04__teb__delay_050,holdout,holdout_04,teb,delay_050
91,discovery__discovery_14__teb__tau_w_300,discovery,discovery_14,teb,tau_w_300
92,discovery__discovery_15__teb__tau_w_300,discovery,discovery_15,teb,tau_w_300
93,holdout__holdout_01__tr__tau_x_300,holdout,holdout_01,tr,tau_x_300
94,discovery__discovery_04__teb__delay_100,discovery,discovery_04,teb,delay_100
95,discovery__discovery_11__teb__e0,discovery,discovery_11,teb,e0
96,holdout__holdout_10__teb__tau_y_300,holdout,holdout_10,teb,tau_y_300
97,holdout__holdout_01__teb__tau_x_300,holdout,holdout_01,teb,tau_x_300
98,discovery__discovery_06__teb__delay_200,discovery,discovery_06,teb,delay_200
99,discovery__discovery_14__tr__tau_w_300,discovery,discovery_14,tr,tau_w_300
100,discovery__discovery_20__teb__delay_100,discovery,discovery_20,teb,delay_100
101,holdout__holdout_18__tr__tau_x_100,holdout,holdout_18,tr,tau_x_100
102,discovery__discovery_13__teb__tau_x_100,discovery,discovery_13,teb,tau_x_100
103,holdout__holdout_17__teb__tau_w_100,holdout,holdout_17,teb,tau_w_100
104,discovery__discovery_06__tr__tau_y_500,discovery,discovery_06,tr,tau_y_500
105,holdout__holdout_01__teb__tau_y_500,holdout,holdout_01,teb,tau_y_500
106,discovery__discovery_17__tr__tau_x_300,discovery,discovery_17,tr,tau_x_300
107,discovery__discovery_17__tr__delay_050,discovery,discovery_17,tr,delay_050
108,discovery__discovery_15__teb__tau_y_300,discovery,discovery_15,teb,tau_y_300
109,holdout__holdout_08__teb__tau_x_100,holdout,holdout_08,teb,tau_x_100
110,discovery__discovery_05__tr__delay_050,discovery,discovery_05,tr,delay_050
111,holdout__holdout_05__teb__e0,holdout,holdout_05,teb,e0
112,holdout__holdout_01__tr__delay_200,holdout,holdout_01,tr,delay_200
113,discovery__discovery_14__teb__tau_x_100,discovery,discovery_14,teb,tau_x_100
114,discovery__discovery_16__tr__tau_y_500,discovery,discovery_16,tr,tau_y_500
115,holdout__holdout_10__tr__delay_200,holdout,holdout_10,tr,delay_200
116,discovery__discovery_04__teb__delay_050,discovery,discovery_04,teb,delay_050
117,discovery__discovery_18__tr__tau_y_150,discovery,discovery_18,tr,tau_y_150
118,discovery__discovery_05__tr__tau_x_300,discovery,discovery_05,tr,tau_x_300
119,discovery__discovery_07__teb__delay_200,discovery,discovery_07,teb,delay_200
120,holdout__holdout_08__tr__tau_x_300,holdout,holdout_08,tr,tau_x_300
121,holdout__holdout_04__teb__tau_x_100,holdout,holdout_04,teb,tau_x_100
122,holdout__holdout_14__teb__e0,holdout,holdout_14,teb,e0
123,discovery__discovery_03__tr__tau_x_100,discovery,discovery_03,tr,tau_x_100
124,discovery__discovery_03__teb__tau_y_300,discovery,discovery_03,teb,tau_y_300
125,holdout__holdout_16__teb__tau_w_300,holdout,holdout_16,teb,tau_w_300
126,discovery__discovery_04__tr__e0,discovery,discovery_04,tr,e0
127,holdout__holdout_11__tr__tau_w_100,holdout,holdout_11,tr,tau_w_100
128,holdout__holdout_16__teb__delay_100,holdout,holdout_16,teb,delay_100
129,discovery__discovery_17__tr__e0,discovery,discovery_17,tr,e0
130,discovery__discovery_04__teb__tau_x_300,discovery,discovery_04,teb,tau_x_300
131,discovery__discovery_04__teb__e0,discovery,discovery_04,teb,e0
132,holdout__holdout_18__teb__tau_w_300,holdout,holdout_18,teb,tau_w_300
133,holdout__holdout_15__tr__e0,holdout,holdout_15,tr,e0
134,discovery__discovery_03__teb__tau_x_300,discovery,discovery_03,teb,tau_x_300
135,holdout__holdout_05__teb__tau_y_500,holdout,holdout_05,teb,tau_y_500
136,holdout__holdout_08__tr__e0,holdout,holdout_08,tr,e0
137,holdout__holdout_19__tr__delay_100,holdout,holdout_19,tr,delay_100
138,holdout__holdout_05__teb__delay_050,holdout,holdout_05,teb,delay_050
139,holdout__holdout_05__tr__e0,holdout,holdout_05,tr,e0
140,holdout__holdout_06__teb__tau_y_150,holdout,holdout_06,teb,tau_y_150
141,discovery__discovery_07__teb__tau_x_100,discovery,discovery_07,teb,tau_x_100
142,discovery__discovery_15__tr__tau_y_150,discovery,discovery_15,tr,tau_y_150
143,discovery__discovery_15__tr__delay_200,discovery,discovery_15,tr,delay_200
144,discovery__discovery_01__tr__delay_100,discovery,discovery_01,tr,delay_100
145,discovery__discovery_05__tr__tau_y_300,discovery,discovery_05,tr,tau_y_300
146,discovery__discovery_06__tr__tau_y_150,discovery,discovery_06,tr,tau_y_150
147,discovery__discovery_12__tr__tau_y_150,discovery,discovery_12,tr,tau_y_150
148,discovery__discovery_01__tr__tau_y_150,discovery,discovery_01,tr,tau_y_150
149,holdout__holdout_09__teb__tau_y_300,holdout,holdout_09,teb,tau_y_300
150,discovery__discovery_13__teb__tau_w_100,discovery,discovery_13,teb,tau_w_100
151,discovery__discovery_01__tr__tau_w_300,discovery,discovery_01,tr,tau_w_300
152,holdout__holdout_15__teb__delay_050,holdout,holdout_15,teb,delay_050
153,holdout__holdout_03__teb__tau_x_300,holdout,holdout_03,teb,tau_x_300
154,discovery__discovery_03__tr__delay_200,discovery,discovery_03,tr,delay_200
155,holdout__holdout_12__tr__tau_y_300,holdout,holdout_12,tr,tau_y_300
156,discovery__discovery_16__teb__tau_x_100,discovery,discovery_16,teb,tau_x_100
157,discovery__discovery_11__tr__tau_x_300,discovery,discovery_11,tr,tau_x_300
158,holdout__holdout_20__tr__tau_y_300,holdout,holdout_20,tr,tau_y_300
159,holdout__holdout_01__teb__delay_100,holdout,holdout_01,teb,delay_100
160,discovery__discovery_16__teb__tau_x_300,discovery,discovery_16,teb,tau_x_300
161,discovery__discovery_10__teb__tau_y_150,discovery,discovery_10,teb,tau_y_150
162,holdout__holdout_14__tr__tau_y_150,holdout,holdout_14,tr,tau_y_150
163,holdout__holdout_12__teb__tau_y_150,holdout,holdout_12,teb,tau_y_150
164,discovery__discovery_07__tr__tau_y_300,discovery,discovery_07,tr,tau_y_300
165,holdout__holdout_20__teb__tau_y_150,holdout,holdout_20,teb,tau_y_150
166,holdout__holdout_02__tr__tau_y_500,holdout,holdout_02,tr,tau_y_500
167,discovery__discovery_20__teb__delay_200,discovery,discovery_20,teb,delay_200
168,discovery__discovery_12__teb__tau_w_100,discovery,discovery_12,teb,tau_w_100
169,discovery__discovery_17__tr__tau_w_100,discovery,discovery_17,tr,tau_w_100
170,discovery__discovery_16__tr__tau_x_100,discovery,discovery_16,tr,tau_x_100
171,holdout__holdout_18__tr__tau_w_300,holdout,holdout_18,tr,tau_w_300
172,holdout__holdout_05__tr__tau_x_300,holdout,holdout_05,tr,tau_x_300
173,holdout__holdout_11__teb__tau_w_300,holdout,holdout_11,teb,tau_w_300
174,holdout__holdout_07__teb__tau_y_150,holdout,holdout_07,teb,tau_y_150
175,discovery__discovery_20__teb__tau_w_100,discovery,discovery_20,teb,tau_w_100
176,holdout__holdout_18__tr__delay_100,holdout,holdout_18,tr,delay_100
177,discovery__discovery_18__tr__delay_050,discovery,discovery_18,tr,delay_050
178,discovery__discovery_17__tr__tau_y_300,discovery,discovery_17,tr,tau_y_300
179,holdout__holdout_08__teb__e0,holdout,holdout_08,teb,e0
180,discovery__discovery_04__tr__delay_100,discovery,discovery_04,tr,delay_100
181,discovery__discovery_06__teb__tau_y_300,discovery,discovery_06,teb,tau_y_300
182,discovery__discovery_13__teb__delay_200,discovery,discovery_13,teb,delay_200
183,discovery__discovery_17__teb__tau_x_100,discovery,discovery_17,teb,tau_x_100
184,holdout__holdout_12__teb__e0,holdout,holdout_12,teb,e0
185,discovery__discovery_06__tr__e0,discovery,discovery_06,tr,e0
186,discovery__discovery_12__teb__tau_w_300,discovery,discovery_12,teb,tau_w_300
187,holdout__holdout_18__tr__tau_y_300,holdout,holdout_18,tr,tau_y_300
188,discovery__discovery_06__teb__tau_w_300,discovery,discovery_06,teb,tau_w_300
189,holdout__holdout_16__teb__tau_x_300,holdout,holdout_16,teb,tau_x_300
190,holdout__holdout_08__teb__delay_100,holdout,holdout_08,teb,delay_100
191,holdout__holdout_08__tr__tau_w_100,holdout,holdout_08,tr,tau_w_100
192,discovery__discovery_13__teb__delay_050,discovery,discovery_13,teb,delay_050
193,discovery__discovery_19__tr__delay_200,discovery,discovery_19,tr,delay_200
194,holdout__holdout_07__tr__delay_200,holdout,holdout_07,tr,delay_200
195,holdout__holdout_13__teb__tau_y_150,holdout,holdout_13,teb,tau_y_150
196,holdout__holdout_15__teb__tau_w_300,holdout,holdout_15,teb,tau_w_300
197,holdout__holdout_04__teb__delay_200,holdout,holdout_04,teb,delay_200
198,discovery__discovery_08__teb__tau_y_500,discovery,discovery_08,teb,tau_y_500
199,holdout__holdout_02__tr__tau_x_100,holdout,holdout_02,tr,tau_x_100
200,holdout__holdout_09__teb__tau_x_300,holdout,holdout_09,teb,tau_x_300
201,discovery__discovery_07__tr__tau_x_100,discovery,discovery_07,tr,tau_x_100
202,discovery__discovery_20__tr__e0,discovery,discovery_20,tr,e0
203,discovery__discovery_19__teb__delay_200,discovery,discovery_19,teb,delay_200
204,discovery__discovery_18__tr__tau_y_300,discovery,discovery_18,tr,tau_y_300
205,holdout__holdout_10__teb__tau_w_300,holdout,holdout_10,teb,tau_w_300
206,discovery__discovery_02__tr__tau_x_300,discovery,discovery_02,tr,tau_x_300
207,holdout__holdout_18__teb__tau_y_150,holdout,holdout_18,teb,tau_y_150
208,discovery__discovery_04__teb__tau_y_150,discovery,discovery_04,teb,tau_y_150
209,holdout__holdout_01__teb__tau_w_300,holdout,holdout_01,teb,tau_w_300
210,holdout__holdout_08__tr__tau_y_500,holdout,holdout_08,tr,tau_y_500
211,holdout__holdout_13__teb__tau_y_500,holdout,holdout_13,teb,tau_y_500
212,discovery__discovery_18__teb__tau_y_150,discovery,discovery_18,teb,tau_y_150
213,discovery__discovery_15__teb__tau_y_500,discovery,discovery_15,teb,tau_y_500
214,discovery__discovery_13__tr__tau_w_100,discovery,discovery_13,tr,tau_w_100
215,discovery__discovery_07__tr__delay_050,discovery,discovery_07,tr,delay_050
216,discovery__discovery_11__teb__delay_050,discovery,discovery_11,teb,delay_050
217,discovery__discovery_17__teb__tau_w_300,discovery,discovery_17,teb,tau_w_300
218,holdout__holdout_09__teb__tau_x_100,holdout,holdout_09,teb,tau_x_100
219,holdout__holdout_19__tr__tau_w_100,holdout,holdout_19,tr,tau_w_100
220,holdout__holdout_13__teb__tau_x_100,holdout,holdout_13,teb,tau_x_100
221,discovery__discovery_08__tr__tau_x_300,discovery,discovery_08,tr,tau_x_300
222,discovery__discovery_04__tr__tau_x_100,discovery,discovery_04,tr,tau_x_100
223,discovery__discovery_19__tr__delay_050,discovery,discovery_19,tr,delay_050
224,holdout__holdout_04__teb__tau_y_150,holdout,holdout_04,teb,tau_y_150
225,discovery__discovery_10__tr__tau_w_300,discovery,discovery_10,tr,tau_w_300
226,holdout__holdout_06__tr__tau_y_150,holdout,holdout_06,tr,tau_y_150
227,discovery__discovery_18__teb__tau_x_300,discovery,discovery_18,teb,tau_x_300
228,discovery__discovery_13__tr__tau_y_150,discovery,discovery_13,tr,tau_y_150
229,holdout__holdout_08__tr__tau_y_150,holdout,holdout_08,tr,tau_y_150
230,discovery__discovery_10__tr__tau_y_300,discovery,discovery_10,tr,tau_y_300
231,holdout__holdout_19__teb__e0,holdout,holdout_19,teb,e0
232,holdout__holdout_16__tr__tau_x_300,holdout,holdout_16,tr,tau_x_300
233,discovery__discovery_18__tr__delay_200,discovery,discovery_18,tr,delay_200
234,discovery__discovery_13__teb__tau_x_300,discovery,discovery_13,teb,tau_x_300
235,holdout__holdout_06__teb__tau_y_300,holdout,holdout_06,teb,tau_y_300
236,holdout__holdout_15__tr__delay_100,holdout,holdout_15,tr,delay_100
237,discovery__discovery_20__teb__tau_y_300,discovery,discovery_20,teb,tau_y_300
238,holdout__holdout_11__tr__tau_x_300,holdout,holdout_11,tr,tau_x_300
239,holdout__holdout_11__teb__tau_y_300,holdout,holdout_11,teb,tau_y_300
240,holdout__holdout_14__tr__tau_y_300,holdout,holdout_14,tr,tau_y_300
241,holdout__holdout_17__teb__tau_w_300,holdout,holdout_17,teb,tau_w_300
242,holdout__holdout_03__tr__tau_w_100,holdout,holdout_03,tr,tau_w_100
243,discovery__discovery_16__teb__tau_w_100,discovery,discovery_16,teb,tau_w_100
244,holdout__holdout_17__tr__tau_y_300,holdout,holdout_17,tr,tau_y_300
245,holdout__holdout_15__teb__tau_x_100,holdout,holdout_15,teb,tau_x_100
246,discovery__discovery_19__tr__delay_100,discovery,discovery_19,tr,delay_100
247,holdout__holdout_14__tr__e0,holdout,holdout_14,tr,e0
248,discovery__discovery_19__teb__tau_x_100,discovery,discovery_19,teb,tau_x_100
249,discovery__discovery_16__teb__delay_100,discovery,discovery_16,teb,delay_100
250,holdout__holdout_15__tr__delay_050,holdout,holdout_15,tr,delay_050
251,holdout__holdout_17__tr__tau_y_150,holdout,holdout_17,tr,tau_y_150
252,holdout__holdout_05__tr__delay_100,holdout,holdout_05,tr,delay_100
253,discovery__discovery_18__tr__tau_y_500,discovery,discovery_18,tr,tau_y_500
254,holdout__holdout_17__teb__tau_x_300,holdout,holdout_17,teb,tau_x_300
255,discovery__discovery_01__teb__tau_w_100,discovery,discovery_01,teb,tau_w_100
256,discovery__discovery_18__teb__delay_050,discovery,discovery_18,teb,delay_050
257,discovery__discovery_07__tr__tau_w_100,discovery,discovery_07,tr,tau_w_100
258,discovery__discovery_04__teb__tau_x_100,discovery,discovery_04,teb,tau_x_100
259,discovery__discovery_11__tr__delay_100,discovery,discovery_11,tr,delay_100
260,holdout__holdout_16__teb__tau_x_100,holdout,holdout_16,teb,tau_x_100
261,discovery__discovery_03__teb__delay_100,discovery,discovery_03,teb,delay_100
262,discovery__discovery_02__tr__tau_y_500,discovery,discovery_02,tr,tau_y_500
263,holdout__holdout_18__teb__e0,holdout,holdout_18,teb,e0
264,discovery__discovery_18__tr__tau_w_300,discovery,discovery_18,tr,tau_w_300
265,discovery__discovery_07__tr__delay_200,discovery,discovery_07,tr,delay_200
266,discovery__discovery_03__teb__tau_w_100,discovery,discovery_03,teb,tau_w_100
267,discovery__discovery_05__teb__delay_200,discovery,discovery_05,teb,delay_200
268,discovery__discovery_08__tr__delay_050,discovery,discovery_08,tr,delay_050
269,discovery__discovery_11__teb__delay_100,discovery,discovery_11,teb,delay_100
270,discovery__discovery_08__teb__delay_200,discovery,discovery_08,teb,delay_200
271,holdout__holdout_14__tr__delay_050,holdout,holdout_14,tr,delay_050
272,holdout__holdout_07__teb__delay_100,holdout,holdout_07,teb,delay_100
273,discovery__discovery_17__teb__tau_w_100,discovery,discovery_17,teb,tau_w_100
274,holdout__holdout_07__tr__tau_x_100,holdout,holdout_07,tr,tau_x_100
275,discovery__discovery_14__teb__delay_050,discovery,discovery_14,teb,delay_050
276,holdout__holdout_17__tr__tau_w_100,holdout,holdout_17,tr,tau_w_100
277,discovery__discovery_06__teb__e0,discovery,discovery_06,teb,e0
278,discovery__discovery_09__tr__tau_x_100,discovery,discovery_09,tr,tau_x_100
279,holdout__holdout_10__tr__tau_y_300,holdout,holdout_10,tr,tau_y_300
280,discovery__discovery_15__tr__tau_y_300,discovery,discovery_15,tr,tau_y_300
281,discovery__discovery_16__tr__delay_100,discovery,discovery_16,tr,delay_100
282,holdout__holdout_08__tr__tau_w_300,holdout,holdout_08,tr,tau_w_300
283,discovery__discovery_05__teb__tau_y_150,discovery,discovery_05,teb,tau_y_150
284,holdout__holdout_03__tr__delay_200,holdout,holdout_03,tr,delay_200
285,discovery__discovery_05__tr__e0,discovery,discovery_05,tr,e0
286,discovery__discovery_07__teb__delay_050,discovery,discovery_07,teb,delay_050
287,discovery__discovery_08__teb__tau_x_300,discovery,discovery_08,teb,tau_x_300
288,holdout__holdout_09__tr__tau_y_500,holdout,holdout_09,tr,tau_y_500
289,holdout__holdout_11__tr__tau_y_150,holdout,holdout_11,tr,tau_y_150
290,discovery__discovery_20__tr__tau_y_300,discovery,discovery_20,tr,tau_y_300
291,holdout__holdout_04__tr__tau_x_100,holdout,holdout_04,tr,tau_x_100
292,discovery__discovery_10__teb__tau_w_100,discovery,discovery_10,teb,tau_w_100
293,discovery__discovery_18__tr__tau_x_100,discovery,discovery_18,tr,tau_x_100
294,discovery__discovery_09__teb__delay_200,discovery,discovery_09,teb,delay_200
295,holdout__holdout_15__teb__e0,holdout,holdout_15,teb,e0
296,discovery__discovery_08__teb__tau_y_300,discovery,discovery_08,teb,tau_y_300
297,discovery__discovery_05__teb__tau_x_100,discovery,discovery_05,teb,tau_x_100
298,discovery__discovery_15__tr__delay_050,discovery,discovery_15,tr,delay_050
299,holdout__holdout_12__tr__tau_x_300,holdout,holdout_12,tr,tau_x_300
300,holdout__holdout_11__tr__delay_100,holdout,holdout_11,tr,delay_100
301,discovery__discovery_02__tr__tau_x_100,discovery,discovery_02,tr,tau_x_100
302,holdout__holdout_06__teb__tau_x_100,holdout,holdout_06,teb,tau_x_100
303,discovery__discovery_04__teb__tau_y_300,discovery,discovery_04,teb,tau_y_300
304,discovery__discovery_15__tr__tau_x_300,discovery,discovery_15,tr,tau_x_300
305,holdout__holdout_03__teb__tau_w_300,holdout,holdout_03,teb,tau_w_300
306,holdout__holdout_01__teb__delay_200,holdout,holdout_01,teb,delay_200
307,discovery__discovery_12__teb__tau_x_100,discovery,discovery_12,teb,tau_x_100
308,discovery__discovery_19__teb__delay_050,discovery,discovery_19,teb,delay_050
309,holdout__holdout_04__teb__tau_x_300,holdout,holdout_04,teb,tau_x_300
310,holdout__holdout_13__tr__e0,holdout,holdout_13,tr,e0
311,discovery__discovery_20__tr__delay_050,discovery,discovery_20,tr,delay_050
312,discovery__discovery_06__teb__delay_050,discovery,discovery_06,teb,delay_050
313,discovery__discovery_05__tr__tau_x_100,discovery,discovery_05,tr,tau_x_100
314,holdout__holdout_14__teb__tau_y_500,holdout,holdout_14,teb,tau_y_500
315,discovery__discovery_12__tr__delay_200,discovery,discovery_12,tr,delay_200
316,discovery__discovery_14__teb__tau_y_150,discovery,discovery_14,teb,tau_y_150
317,holdout__holdout_17__tr__delay_200,holdout,holdout_17,tr,delay_200
318,holdout__holdout_19__teb__tau_w_100,holdout,holdout_19,teb,tau_w_100
319,holdout__holdout_04__tr__tau_w_300,holdout,holdout_04,tr,tau_w_300
320,holdout__holdout_10__teb__e0,holdout,holdout_10,teb,e0
321,discovery__discovery_02__tr__delay_200,discovery,discovery_02,tr,delay_200
322,discovery__discovery_13__tr__e0,discovery,discovery_13,tr,e0
323,holdout__holdout_20__tr__tau_w_100,holdout,holdout_20,tr,tau_w_100
324,holdout__holdout_19__teb__tau_w_300,holdout,holdout_19,teb,tau_w_300
325,discovery__discovery_17__teb__tau_y_150,discovery,discovery_17,teb,tau_y_150
326,holdout__holdout_02__tr__tau_x_300,holdout,holdout_02,tr,tau_x_300
327,holdout__holdout_18__teb__tau_w_100,holdout,holdout_18,teb,tau_w_100
328,holdout__holdout_18__teb__tau_x_100,holdout,holdout_18,teb,tau_x_100
329,discovery__discovery_07__tr__delay_100,discovery,discovery_07,tr,delay_100
330,holdout__holdout_05__teb__delay_100,holdout,holdout_05,teb,delay_100
331,holdout__holdout_17__teb__tau_x_100,holdout,holdout_17,teb,tau_x_100
332,holdout__holdout_13__teb__delay_100,holdout,holdout_13,teb,delay_100
333,discovery__discovery_13__tr__tau_x_100,discovery,discovery_13,tr,tau_x_100
334,holdout__holdout_13__teb__tau_w_300,holdout,holdout_13,teb,tau_w_300
335,holdout__holdout_16__teb__tau_y_500,holdout,holdout_16,teb,tau_y_500
336,discovery__discovery_07__teb__tau_y_150,discovery,discovery_07,teb,tau_y_150
337,discovery__discovery_03__teb__tau_y_500,discovery,discovery_03,teb,tau_y_500
338,holdout__holdout_02__teb__delay_200,holdout,holdout_02,teb,delay_200
339,holdout__holdout_13__teb__tau_w_100,holdout,holdout_13,teb,tau_w_100
340,holdout__holdout_17__teb__tau_y_500,holdout,holdout_17,teb,tau_y_500
341,discovery__discovery_15__tr__tau_x_100,discovery,discovery_15,tr,tau_x_100
342,holdout__holdout_10__tr__tau_x_100,holdout,holdout_10,tr,tau_x_100
343,holdout__holdout_03__tr__tau_y_150,holdout,holdout_03,tr,tau_y_150
344,holdout__holdout_12__teb__tau_y_300,holdout,holdout_12,teb,tau_y_300
345,discovery__discovery_09__tr__delay_100,discovery,discovery_09,tr,delay_100
346,holdout__holdout_14__tr__tau_x_300,holdout,holdout_14,tr,tau_x_300
