schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract,normalized_path_progress
14,discovery__discovery_19__tr__tau_y_500,discovery,discovery_19,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,257,1283,0.0782233865267381,0.09927484730438621,12.829999999999771,12.829999999999771,4.843406753166732,0.0414707943198158,0.009031295252918296,0.026499831,true,true,true,true,0.9851838474802648
15,discovery__discovery_19__tr__tau_w_300,discovery,discovery_19,tr,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,244,1220,0.07942951365549826,0.006176113410513577,12.199999999999784,12.199999999999784,4.903577076255176,0.05950729063577497,0.009550097565573774,0.014657271,true,true,true,true,0.9848524618351967
17,discovery__discovery_11__tr__e0,discovery,discovery_11,tr,e0,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,253,1265,0.07934648668880287,0.09977321845520577,12.649999999999775,12.649999999999775,5.018984466211434,0.07629744851464373,0.009292024636363642,0.015986092,true,true,true,true,0.9856020682701144
18,holdout__holdout_17__teb__delay_200,holdout,holdout_17,teb,delay_200,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,184,920,2.013764992355564,0.2031879586710326,9.199999999999848,9.199999999999848,3.5318201841058205,0.007606504228799358,0.019241377756756765,0.05459386,true,true,true,true,0.6088302976218896
13,discovery__discovery_07__teb__tau_y_300,discovery,discovery_07,teb,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,395,1972,0.07885203842608732,0.04109194453545576,19.720000000000283,19.720000000000283,6.744634844170139,0.09555830171923717,0.01290597034177216,0.041488132,true,true,true,true,0.9963711862643434
21,discovery__discovery_11__tr__delay_050,discovery,discovery_11,tr,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,251,1254,0.07744466414705885,0.09921493256418079,12.539999999999777,12.539999999999777,5.008024808822819,0.07363373110277541,0.009619862243027893,0.019212894,true,true,true,true,0.98688637841429
20,discovery__discovery_08__tr__delay_100,discovery,discovery_08,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,355,1772,0.07013249795915805,0.0993351098069637,17.71999999999997,17.71999999999997,5.887759835092443,0.06102608153820752,0.007989875532394372,0.038524677,true,true,true,true,0.9888612097315477
16,holdout__holdout_01__tr__delay_050,holdout,holdout_01,tr,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,2.821442272747975,0.6726722585153657,30.00000000000189,30.00000000000189,2.0025805045423106,0.22327897595060925,0.00753750124833333,0.020184808,true,true,true,true,0.3397378298657993
22,discovery__discovery_16__teb__tau_y_300,discovery,discovery_16,teb,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,317,1583,0.03940484759322836,0.09809292014955795,15.829999999999707,15.829999999999707,6.095409574162936,0.15369869672331538,0.011414390488959,0.021903334,true,true,true,true,0.9950213179427744
23,discovery__discovery_20__tr__tau_x_100,discovery,discovery_20,tr,tau_x_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.482688510538497,0.6693263238295857,30.00000000000189,30.00000000000189,0.5765561387885757,0.4847819984634141,0.006345709113333333,0.016725211,true,true,true,true,0.07042968636173108
19,discovery__discovery_14__teb__tau_y_300,discovery,discovery_14,teb,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,419,2092,0.07108865469566523,0.09831379889065907,20.92000000000047,20.92000000000047,6.933033473189576,0.06758504404321553,0.013430720050119334,0.045890438,true,true,true,true,0.9964643786008294
24,holdout__holdout_12__teb__tau_w_300,holdout,holdout_12,teb,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,307,1531,0.04189487901665197,0.09753448814925589,15.309999999999718,15.309999999999718,5.039186979257182,0.08500786575970598,0.010616139579804562,0.023090716,true,true,true,true,0.995105043201145
25,discovery__discovery_06__teb__tau_x_300,discovery,discovery_06,teb,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,243,1211,0.06289441500163158,0.09882324275858749,12.109999999999786,12.109999999999786,4.9649985984094185,0.16922515417681264,0.010680483139917705,0.020602548,true,true,true,true,0.9972642339900847
29,holdout__holdout_03__teb__e0,holdout,holdout_03,teb,e0,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,71,355,3.5197415009883577,0.30513244543672124,3.5499999999999683,3.5499999999999683,1.7613881477454083,0.043300293725749506,0.01754744444444445,0.026576714,true,true,true,true,0.3106454741139901
27,holdout__holdout_13__teb__e0,holdout,holdout_13,teb,e0,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,272,1357,0.054502039709198036,0.09851283709297357,13.569999999999755,13.569999999999755,5.928759493946212,0.1204828092450515,0.014496912419117644,0.034557837,true,true,true,true,0.991155466378184
26,discovery__discovery_12__tr__delay_100,discovery,discovery_12,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.328042304723164,0.7973318258300376,30.00000000000189,30.00000000000189,0.8953401592960408,0.6196023160975785,0.007418607674999995,0.019649267,true,true,true,true,0.11378254543329964
28,holdout__holdout_12__teb__tau_y_500,holdout,holdout_12,teb,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,300,1497,0.07939448967851465,0.0832962648463336,14.969999999999725,14.969999999999725,5.030501725580184,0.08864690034710038,0.011782903393333329,0.024808061,true,true,true,true,0.9959123689563083
32,discovery__discovery_05__teb__tau_x_300,discovery,discovery_05,teb,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,269,1345,0.07649258428866204,0.009082624969643013,13.449999999999758,13.449999999999758,5.499203724747665,0.13725267906625005,0.01226595695539034,0.023512487,true,true,true,true,0.9871782764751669
35,holdout__holdout_14__tr__tau_y_500,holdout,holdout_14,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,171,855,2.100185423719127,0.04734876267613485,8.549999999999862,8.549999999999862,3.4918353602629053,0.030779091300062667,0.009159056424418605,0.013563556,true,true,true,true,0.6051438619003073
33,holdout__holdout_06__tr__delay_100,holdout,holdout_06,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,275,1374,0.07262116934020102,0.0992907267835066,13.739999999999752,13.739999999999752,4.994648440910482,0.17834448765582941,0.009168874087272728,0.021077444,true,true,true,true,0.9864627115595086
31,discovery__discovery_02__teb__delay_100,discovery,discovery_02,teb,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,282,1407,0.03266844769118512,0.09781333083639217,14.069999999999744,14.069999999999744,5.661771876783678,0.06481058056097244,0.012696327815602844,0.093665222,true,true,true,true,1.0
36,holdout__holdout_20__tr__tau_x_300,holdout,holdout_20,tr,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,257,1284,0.07859144111738801,0.01959261075742222,12.83999999999977,12.83999999999977,5.0019901538203,0.06081776528799602,0.00965480378988327,0.013416824,true,true,true,true,0.9855299871377635
37,holdout__holdout_04__tr__delay_100,holdout,holdout_04,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,288,1436,0.07193999395511971,0.09919205288542315,14.359999999999738,14.359999999999738,5.027430536482795,0.1469192942237099,0.008866845725694452,0.016528763,true,true,true,true,0.9865060941087761
34,discovery__discovery_14__teb__e0,discovery,discovery_14,teb,e0,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,284,1420,0.009153021000366541,0.09559556601662059,14.199999999999742,14.199999999999742,6.55947344327573,0.08661418272757501,0.013072426017605634,0.027123577,true,true,true,true,0.9988762905533715
30,holdout__holdout_08__teb__delay_200,holdout,holdout_08,teb,delay_200,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,470,2349,0.05601607261592947,0.09512747931068354,23.490000000000872,23.490000000000872,6.505185924449224,0.11322101583265297,0.013970238465957447,0.032253275,true,true,true,true,1.0
38,discovery__discovery_12__tr__tau_y_300,discovery,discovery_12,tr,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.365526661754369,0.6960962175542177,30.00000000000189,30.00000000000189,1.2604541519403056,0.6723197915626763,0.004426861873333332,0.01664236,true,true,true,true,0.10244573985062562
41,discovery__discovery_12__tr__tau_w_100,discovery,discovery_12,tr,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.35951355391164,0.7201031455237216,30.00000000000189,30.00000000000189,0.9493555077356094,0.6621344271802042,0.004172427376666667,0.019285127,true,true,true,true,0.1027741241534741
43,discovery__discovery_19__teb__tau_y_300,discovery,discovery_19,teb,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,255,1272,0.07954693898574615,0.05248745587515899,12.719999999999773,12.719999999999773,4.968592925810255,0.1102422740535544,0.00931878707058823,0.028594584,true,true,true,true,1.0
47,holdout__holdout_03__teb__tau_y_150,holdout,holdout_03,teb,tau_y_150,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,82,410,3.4187825056161296,0.3014071176392326,4.099999999999957,4.099999999999957,1.9060728899954007,0.03223333102296403,0.019223802626506022,0.061423699,true,true,true,true,0.329098645518059
44,discovery__discovery_07__tr__tau_y_150,discovery,discovery_07,tr,tau_y_150,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,303,1512,0.07995687206518035,0.023970623087895854,15.119999999999722,15.119999999999722,6.161029072412293,0.059303422099450935,0.009755951683168307,0.037828522,true,true,true,true,0.9891036855699632
39,discovery__discovery_02__tr__delay_050,discovery,discovery_02,tr,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.376487467897679,0.7588124167174545,30.00000000000189,30.00000000000189,0.5189024156843896,0.7862998101304981,0.007024541943333335,0.040120939,true,true,true,true,0.09326740509075974
42,discovery__discovery_20__tr__tau_y_500,discovery,discovery_20,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.477337560132734,0.5045916808375882,30.00000000000189,30.00000000000189,0.8241917938334722,0.40950366496548307,0.006061265089999997,0.036520583,true,true,true,true,0.07227199401326247
46,holdout__holdout_02__teb__tau_w_300,holdout,holdout_02,teb,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,269,1342,0.05162955147002571,0.09662723156293836,13.419999999999758,13.419999999999758,5.0501994364304625,0.19884162605239458,0.012193265769516745,0.030887839,true,true,true,true,0.9901765365792651
40,discovery__discovery_10__teb__tau_w_300,discovery,discovery_10,teb,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,398,1988,0.06354038414110218,0.0954257730638208,19.880000000000308,19.880000000000308,5.448826014909807,0.11975269492797604,0.015021937223618088,0.039824526,true,true,true,true,0.9916225782827962
45,holdout__holdout_11__teb__tau_w_100,holdout,holdout_11,teb,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,264,1320,1.405047550284547,0.8346364315258118,13.199999999999763,13.199999999999763,5.171372009307579,0.032655042917984815,0.017871564916981126,0.029906804,true,true,true,true,0.7491256442923769
48,holdout__holdout_10__tr__delay_100,holdout,holdout_10,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,334,1668,0.07158631838278508,0.09990128295825956,16.679999999999808,16.679999999999808,5.649466997021157,0.11659209884111789,0.008133080077844307,0.038057066,true,true,true,true,0.9884637754889715
49,holdout__holdout_12__tr__tau_w_300,holdout,holdout_12,tr,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,241,1205,0.07966662782606133,0.022519482851984886,12.049999999999788,12.049999999999788,4.936516945992892,0.06096982539204838,0.009613912564315357,0.036128429,true,true,true,true,0.9850712856588095
50,discovery__discovery_16__tr__delay_200,discovery,discovery_16,tr,delay_200,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,417,2082,0.040619091514071524,0.09977097240732838,20.820000000000455,20.820000000000455,6.558095792651102,0.18058955168285928,0.008421195122302156,0.036881628,true,true,true,true,0.9957659561591942
53,discovery__discovery_19__tr__tau_x_300,discovery,discovery_19,tr,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,257,1283,0.07811324728431945,0.006936653422888919,12.829999999999771,12.829999999999771,4.921001371910049,0.0683918603757122,0.010820382505836576,0.038284456,true,true,true,true,0.9852452970344283
54,discovery__discovery_05__tr__tau_y_500,discovery,discovery_05,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,311,1551,0.07696139667325953,0.09964364345487897,15.509999999999714,15.509999999999714,5.205321475793357,0.05012834550336009,0.008206345321543407,0.040821615,true,true,true,true,0.9874209736574373
52,holdout__holdout_04__teb__tau_w_100,holdout,holdout_04,teb,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,248,1240,0.050183713582904015,0.09747521875628712,12.39999999999978,12.39999999999978,5.041892267065246,0.04336235644236867,0.012958228903225821,0.035708112,true,true,true,true,0.9940159723985442
51,discovery__discovery_09__teb__tau_y_500,discovery,discovery_09,teb,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,295,1472,0.054348761893425544,0.09940947352269047,14.71999999999973,14.71999999999973,5.1444465658024505,0.15421746210615142,0.0141426275220339,0.066940753,true,true,true,true,0.9902021875265169
55,discovery__discovery_17__teb__tau_y_300,discovery,discovery_17,teb,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,footprint_collision,footprint_collision,true,0,216,1077,1.8645941966190458,0.6767915334284429,10.769999999999815,10.769999999999815,3.917157010503271,0.0,0.016594281087962962,0.062577735,true,true,true,true,0.6434183198928065
57,discovery__discovery_03__tr__tau_y_500,discovery,discovery_03,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,289,1441,0.07852319657673323,0.09959155517953243,14.409999999999737,14.409999999999737,5.432431921367672,0.060057733728259885,0.00945017934256054,0.038137741,true,true,true,true,0.9873519691217619
56,discovery__discovery_05__teb__tau_w_100,discovery,discovery_05,teb,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,267,1335,0.07606653457832609,0.045542290060667075,13.34999999999976,13.34999999999976,5.502670097603999,0.1456395043479112,0.012482299917602992,0.088758759,true,true,true,true,0.9872684885840539
61,holdout__holdout_11__tr__tau_x_100,holdout,holdout_11,tr,tau_x_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,372,1858,0.06534925131117204,0.09948194338612988,18.580000000000105,18.580000000000105,6.5896275510316995,0.06301391069636293,0.008299939655913975,0.032044732,true,true,true,true,0.99117730882995
58,holdout__holdout_19__teb__delay_100,holdout,holdout_19,teb,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,334,1666,0.07806245396714061,0.05477903400731154,16.659999999999805,16.659999999999805,6.05307409242409,0.1854566359229783,0.012576341062874245,0.035759174,true,true,true,true,0.991836934242734
59,discovery__discovery_12__teb__delay_050,discovery,discovery_12,teb,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,273,1363,0.05201921936563217,0.09783339747847629,13.629999999999754,13.629999999999754,5.807542920651657,0.15074661021348756,0.015350432311355333,0.043459668,true,true,true,true,0.9915282296834877
62,discovery__discovery_06__tr__tau_w_100,discovery,discovery_06,tr,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,265,1325,0.0764483734403337,0.09955301735620425,13.249999999999762,13.249999999999762,4.9597241203340925,0.059573925478763445,0.008878938973584901,0.019374442,true,true,true,true,0.9858093127953278
65,discovery__discovery_06__tr__tau_y_300,discovery,discovery_06,tr,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,258,1286,0.07793159125716019,0.09919242795303305,12.85999999999977,12.85999999999977,4.909411124750557,0.05364204109481524,0.009114327724806193,0.030973895,true,true,true,true,0.9855562655710558
63,discovery__discovery_03__tr__tau_y_300,discovery,discovery_03,tr,tau_y_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,275,1371,0.07989481080195196,0.09972097125011287,13.709999999999752,13.709999999999752,5.394099581269809,0.04951513525417417,0.009147088985454545,0.017845756,true,true,true,true,0.9863614978432469
60,discovery__discovery_07__teb__tau_y_500,discovery,discovery_07,teb,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,474,2368,0.07905678383480419,0.029214421655949785,23.680000000000902,23.680000000000902,7.067389365636697,0.005346582643299057,0.012053587588607582,0.046818439,true,true,true,true,0.9964903488052339
66,holdout__holdout_05__tr__tau_y_150,holdout,holdout_05,tr,tau_y_150,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,298,1488,0.07798869575652713,0.09906615360966878,14.879999999999727,14.879999999999727,5.166781832233106,0.030624444783005307,0.008434261265100669,0.021660461,true,true,true,true,0.9862011555616317
68,discovery__discovery_15__teb__delay_050,discovery,discovery_15,teb,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,241,1204,0.0658828022673963,0.09911158731411158,12.039999999999788,12.039999999999788,5.10132837524375,0.18196323407393605,0.011294914091286317,0.044346582,true,true,true,true,1.0
64,holdout__holdout_17__tr__tau_w_300,holdout,holdout_17,tr,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,3.5655072622608883,0.33619046865907654,30.00000000000189,30.00000000000189,1.3482487399432308,0.5569842652414151,0.005988978250000003,0.04128051,true,true,true,true,0.22116412319235057
67,discovery__discovery_16__tr__tau_x_300,discovery,discovery_16,tr,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,414,2069,0.02807969488169544,0.0990935644509582,20.690000000000435,20.690000000000435,6.349846676080875,0.08612367283349276,0.008072103371980688,0.036123025,true,true,true,true,0.9967618575111881
69,holdout__holdout_11__tr__tau_y_500,holdout,holdout_11,tr,tau_y_500,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,383,1914,0.07687230230844916,0.09929483806487677,19.140000000000192,19.140000000000192,6.763846835956936,0.20609396524947346,0.00815866846997389,0.038197958,true,true,true,true,0.9898123406593055
