partition,planner,profile_id,e0_terminal_mode,profile_terminal_mode,count,rate_total,e0_source_count,rate_from_e0_mode
discovery,tr,tau_x_300,planner_failure,collision,0,0.0,0,
discovery,tr,tau_x_300,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_x_300,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_x_300,timeout,success,0,0.0,7,0.0
discovery,tr,tau_x_300,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_x_300,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_x_300,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_y_150,success,success,12,0.6,13,0.9230769230769231
discovery,tr,tau_y_150,success,collision,0,0.0,13,0.0
discovery,tr,tau_y_150,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_y_150,success,timeout,1,0.05,13,0.07692307692307693
discovery,tr,tau_y_150,collision,success,0,0.0,0,
discovery,tr,tau_y_150,collision,collision,0,0.0,0,
discovery,tr,tau_y_150,collision,planner_failure,0,0.0,0,
discovery,tr,tau_y_150,collision,timeout,0,0.0,0,
discovery,tr,tau_y_150,planner_failure,success,0,0.0,0,
discovery,tr,tau_y_150,planner_failure,collision,0,0.0,0,
discovery,tr,tau_y_150,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_y_150,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_y_150,timeout,success,0,0.0,7,0.0
discovery,tr,tau_y_150,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_y_150,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_y_150,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_y_300,success,success,12,0.6,13,0.9230769230769231
discovery,tr,tau_y_300,success,collision,0,0.0,13,0.0
discovery,tr,tau_y_300,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_y_300,success,timeout,1,0.05,13,0.07692307692307693
discovery,tr,tau_y_300,collision,success,0,0.0,0,
discovery,tr,tau_y_300,collision,collision,0,0.0,0,
discovery,tr,tau_y_300,collision,planner_failure,0,0.0,0,
discovery,tr,tau_y_300,collision,timeout,0,0.0,0,
discovery,tr,tau_y_300,planner_failure,success,0,0.0,0,
discovery,tr,tau_y_300,planner_failure,collision,0,0.0,0,
discovery,tr,tau_y_300,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_y_300,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_y_300,timeout,success,0,0.0,7,0.0
discovery,tr,tau_y_300,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_y_300,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_y_300,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_y_500,success,success,13,0.65,13,1.0
discovery,tr,tau_y_500,success,collision,0,0.0,13,0.0
discovery,tr,tau_y_500,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_y_500,success,timeout,0,0.0,13,0.0
discovery,tr,tau_y_500,collision,success,0,0.0,0,
discovery,tr,tau_y_500,collision,collision,0,0.0,0,
discovery,tr,tau_y_500,collision,planner_failure,0,0.0,0,
discovery,tr,tau_y_500,collision,timeout,0,0.0,0,
discovery,tr,tau_y_500,planner_failure,success,0,0.0,0,
discovery,tr,tau_y_500,planner_failure,collision,0,0.0,0,
discovery,tr,tau_y_500,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_y_500,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_y_500,timeout,success,0,0.0,7,0.0
discovery,tr,tau_y_500,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_y_500,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_y_500,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_w_100,success,success,12,0.6,13,0.9230769230769231
discovery,tr,tau_w_100,success,collision,1,0.05,13,0.07692307692307693
discovery,tr,tau_w_100,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_w_100,success,timeout,0,0.0,13,0.0
discovery,tr,tau_w_100,collision,success,0,0.0,0,
discovery,tr,tau_w_100,collision,collision,0,0.0,0,
discovery,tr,tau_w_100,collision,planner_failure,0,0.0,0,
discovery,tr,tau_w_100,collision,timeout,0,0.0,0,
discovery,tr,tau_w_100,planner_failure,success,0,0.0,0,
discovery,tr,tau_w_100,planner_failure,collision,0,0.0,0,
discovery,tr,tau_w_100,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_w_100,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_w_100,timeout,success,0,0.0,7,0.0
discovery,tr,tau_w_100,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_w_100,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_w_100,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_w_300,success,success,12,0.6,13,0.9230769230769231
discovery,tr,tau_w_300,success,collision,0,0.0,13,0.0
discovery,tr,tau_w_300,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_w_300,success,timeout,1,0.05,13,0.07692307692307693
discovery,tr,tau_w_300,collision,success,0,0.0,0,
discovery,tr,tau_w_300,collision,collision,0,0.0,0,
discovery,tr,tau_w_300,collision,planner_failure,0,0.0,0,
discovery,tr,tau_w_300,collision,timeout,0,0.0,0,
discovery,tr,tau_w_300,planner_failure,success,0,0.0,0,
discovery,tr,tau_w_300,planner_failure,collision,0,0.0,0,
discovery,tr,tau_w_300,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_w_300,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_w_300,timeout,success,0,0.0,7,0.0
discovery,tr,tau_w_300,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_w_300,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_w_300,timeout,timeout,7,0.35,7,1.0
discovery,teb,delay_050,success,success,19,0.95,19,1.0
discovery,teb,delay_050,success,collision,0,0.0,19,0.0
discovery,teb,delay_050,success,planner_failure,0,0.0,19,0.0
discovery,teb,delay_050,success,timeout,0,0.0,19,0.0
discovery,teb,delay_050,collision,success,0,0.0,0,
discovery,teb,delay_050,collision,collision,0,0.0,0,
discovery,teb,delay_050,collision,planner_failure,0,0.0,0,
discovery,teb,delay_050,collision,timeout,0,0.0,0,
discovery,teb,delay_050,planner_failure,success,0,0.0,1,0.0
discovery,teb,delay_050,planner_failure,collision,0,0.0,1,0.0
discovery,teb,delay_050,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,delay_050,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,delay_050,timeout,success,0,0.0,0,
discovery,teb,delay_050,timeout,collision,0,0.0,0,
discovery,teb,delay_050,timeout,planner_failure,0,0.0,0,
discovery,teb,delay_050,timeout,timeout,0,0.0,0,
discovery,teb,delay_100,success,success,18,0.9,19,0.9473684210526315
discovery,teb,delay_100,success,collision,0,0.0,19,0.0
discovery,teb,delay_100,success,planner_failure,1,0.05,19,0.05263157894736842
discovery,teb,delay_100,success,timeout,0,0.0,19,0.0
discovery,teb,delay_100,collision,success,0,0.0,0,
discovery,teb,delay_100,collision,collision,0,0.0,0,
discovery,teb,delay_100,collision,planner_failure,0,0.0,0,
discovery,teb,delay_100,collision,timeout,0,0.0,0,
discovery,teb,delay_100,planner_failure,success,0,0.0,1,0.0
discovery,teb,delay_100,planner_failure,collision,0,0.0,1,0.0
discovery,teb,delay_100,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,delay_100,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,delay_100,timeout,success,0,0.0,0,
discovery,teb,delay_100,timeout,collision,0,0.0,0,
discovery,teb,delay_100,timeout,planner_failure,0,0.0,0,
discovery,teb,delay_100,timeout,timeout,0,0.0,0,
discovery,teb,delay_200,success,success,18,0.9,19,0.9473684210526315
discovery,teb,delay_200,success,collision,0,0.0,19,0.0
discovery,teb,delay_200,success,planner_failure,1,0.05,19,0.05263157894736842
discovery,teb,delay_200,success,timeout,0,0.0,19,0.0
discovery,teb,delay_200,collision,success,0,0.0,0,
discovery,teb,delay_200,collision,collision,0,0.0,0,
discovery,teb,delay_200,collision,planner_failure,0,0.0,0,
discovery,teb,delay_200,collision,timeout,0,0.0,0,
discovery,teb,delay_200,planner_failure,success,0,0.0,1,0.0
discovery,teb,delay_200,planner_failure,collision,0,0.0,1,0.0
discovery,teb,delay_200,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,delay_200,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,delay_200,timeout,success,0,0.0,0,
discovery,teb,delay_200,timeout,collision,0,0.0,0,
discovery,teb,delay_200,timeout,planner_failure,0,0.0,0,
discovery,teb,delay_200,timeout,timeout,0,0.0,0,
discovery,teb,tau_x_100,success,success,19,0.95,19,1.0
discovery,teb,tau_x_100,success,collision,0,0.0,19,0.0
discovery,teb,tau_x_100,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_x_100,success,timeout,0,0.0,19,0.0
discovery,teb,tau_x_100,collision,success,0,0.0,0,
discovery,teb,tau_x_100,collision,collision,0,0.0,0,
discovery,teb,tau_x_100,collision,planner_failure,0,0.0,0,
discovery,teb,tau_x_100,collision,timeout,0,0.0,0,
discovery,teb,tau_x_100,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_x_100,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_x_100,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_x_100,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_x_100,timeout,success,0,0.0,0,
discovery,teb,tau_x_100,timeout,collision,0,0.0,0,
discovery,teb,tau_x_100,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_x_100,timeout,timeout,0,0.0,0,
discovery,teb,tau_x_300,success,success,19,0.95,19,1.0
discovery,teb,tau_x_300,success,collision,0,0.0,19,0.0
discovery,teb,tau_x_300,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_x_300,success,timeout,0,0.0,19,0.0
discovery,teb,tau_x_300,collision,success,0,0.0,0,
discovery,teb,tau_x_300,collision,collision,0,0.0,0,
discovery,teb,tau_x_300,collision,planner_failure,0,0.0,0,
discovery,teb,tau_x_300,collision,timeout,0,0.0,0,
discovery,teb,tau_x_300,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_x_300,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_x_300,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_x_300,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_x_300,timeout,success,0,0.0,0,
discovery,teb,tau_x_300,timeout,collision,0,0.0,0,
discovery,teb,tau_x_300,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_x_300,timeout,timeout,0,0.0,0,
discovery,teb,tau_y_150,success,success,19,0.95,19,1.0
discovery,teb,tau_y_150,success,collision,0,0.0,19,0.0
discovery,teb,tau_y_150,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_y_150,success,timeout,0,0.0,19,0.0
discovery,teb,tau_y_150,collision,success,0,0.0,0,
discovery,teb,tau_y_150,collision,collision,0,0.0,0,
discovery,teb,tau_y_150,collision,planner_failure,0,0.0,0,
discovery,teb,tau_y_150,collision,timeout,0,0.0,0,
discovery,teb,tau_y_150,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_y_150,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_y_150,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_y_150,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_y_150,timeout,success,0,0.0,0,
discovery,teb,tau_y_150,timeout,collision,0,0.0,0,
discovery,teb,tau_y_150,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_y_150,timeout,timeout,0,0.0,0,
discovery,teb,tau_y_300,success,success,18,0.9,19,0.9473684210526315
discovery,teb,tau_y_300,success,collision,1,0.05,19,0.05263157894736842
discovery,teb,tau_y_300,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_y_300,success,timeout,0,0.0,19,0.0
discovery,teb,tau_y_300,collision,success,0,0.0,0,
discovery,teb,tau_y_300,collision,collision,0,0.0,0,
discovery,teb,tau_y_300,collision,planner_failure,0,0.0,0,
discovery,teb,tau_y_300,collision,timeout,0,0.0,0,
discovery,teb,tau_y_300,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_y_300,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_y_300,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_y_300,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_y_300,timeout,success,0,0.0,0,
discovery,teb,tau_y_300,timeout,collision,0,0.0,0,
discovery,teb,tau_y_300,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_y_300,timeout,timeout,0,0.0,0,
discovery,teb,tau_y_500,success,success,17,0.85,19,0.8947368421052632
discovery,teb,tau_y_500,success,collision,1,0.05,19,0.05263157894736842
discovery,teb,tau_y_500,success,planner_failure,1,0.05,19,0.05263157894736842
discovery,teb,tau_y_500,success,timeout,0,0.0,19,0.0
discovery,teb,tau_y_500,collision,success,0,0.0,0,
discovery,teb,tau_y_500,collision,collision,0,0.0,0,
discovery,teb,tau_y_500,collision,planner_failure,0,0.0,0,
discovery,teb,tau_y_500,collision,timeout,0,0.0,0,
discovery,teb,tau_y_500,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_y_500,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_y_500,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_y_500,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_y_500,timeout,success,0,0.0,0,
discovery,teb,tau_y_500,timeout,collision,0,0.0,0,
discovery,teb,tau_y_500,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_y_500,timeout,timeout,0,0.0,0,
discovery,teb,tau_w_100,success,success,19,0.95,19,1.0
discovery,teb,tau_w_100,success,collision,0,0.0,19,0.0
discovery,teb,tau_w_100,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_w_100,success,timeout,0,0.0,19,0.0
discovery,teb,tau_w_100,collision,success,0,0.0,0,
discovery,teb,tau_w_100,collision,collision,0,0.0,0,
discovery,teb,tau_w_100,collision,planner_failure,0,0.0,0,
discovery,teb,tau_w_100,collision,timeout,0,0.0,0,
discovery,teb,tau_w_100,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_w_100,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_w_100,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_w_100,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_w_100,timeout,success,0,0.0,0,
discovery,teb,tau_w_100,timeout,collision,0,0.0,0,
discovery,teb,tau_w_100,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_w_100,timeout,timeout,0,0.0,0,
discovery,teb,tau_w_300,success,success,18,0.9,19,0.9473684210526315
discovery,teb,tau_w_300,success,collision,0,0.0,19,0.0
discovery,teb,tau_w_300,success,planner_failure,0,0.0,19,0.0
discovery,teb,tau_w_300,success,timeout,1,0.05,19,0.05263157894736842
discovery,teb,tau_w_300,collision,success,0,0.0,0,
discovery,teb,tau_w_300,collision,collision,0,0.0,0,
discovery,teb,tau_w_300,collision,planner_failure,0,0.0,0,
discovery,teb,tau_w_300,collision,timeout,0,0.0,0,
discovery,teb,tau_w_300,planner_failure,success,0,0.0,1,0.0
discovery,teb,tau_w_300,planner_failure,collision,0,0.0,1,0.0
discovery,teb,tau_w_300,planner_failure,planner_failure,1,0.05,1,1.0
discovery,teb,tau_w_300,planner_failure,timeout,0,0.0,1,0.0
discovery,teb,tau_w_300,timeout,success,0,0.0,0,
discovery,teb,tau_w_300,timeout,collision,0,0.0,0,
discovery,teb,tau_w_300,timeout,planner_failure,0,0.0,0,
discovery,teb,tau_w_300,timeout,timeout,0,0.0,0,
holdout,tr,delay_050,success,success,11,0.55,12,0.9166666666666666
holdout,tr,delay_050,success,collision,0,0.0,12,0.0
holdout,tr,delay_050,success,planner_failure,0,0.0,12,0.0
holdout,tr,delay_050,success,timeout,1,0.05,12,0.08333333333333333
holdout,tr,delay_050,collision,success,0,0.0,0,
holdout,tr,delay_050,collision,collision,0,0.0,0,
holdout,tr,delay_050,collision,planner_failure,0,0.0,0,
holdout,tr,delay_050,collision,timeout,0,0.0,0,
holdout,tr,delay_050,planner_failure,success,0,0.0,0,
holdout,tr,delay_050,planner_failure,collision,0,0.0,0,
holdout,tr,delay_050,planner_failure,planner_failure,0,0.0,0,
holdout,tr,delay_050,planner_failure,timeout,0,0.0,0,
holdout,tr,delay_050,timeout,success,1,0.05,8,0.125
holdout,tr,delay_050,timeout,collision,0,0.0,8,0.0
holdout,tr,delay_050,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,delay_050,timeout,timeout,7,0.35,8,0.875
holdout,tr,delay_100,success,success,12,0.6,12,1.0
holdout,tr,delay_100,success,collision,0,0.0,12,0.0
holdout,tr,delay_100,success,planner_failure,0,0.0,12,0.0
holdout,tr,delay_100,success,timeout,0,0.0,12,0.0
holdout,tr,delay_100,collision,success,0,0.0,0,
holdout,tr,delay_100,collision,collision,0,0.0,0,
holdout,tr,delay_100,collision,planner_failure,0,0.0,0,
holdout,tr,delay_100,collision,timeout,0,0.0,0,
holdout,tr,delay_100,planner_failure,success,0,0.0,0,
holdout,tr,delay_100,planner_failure,collision,0,0.0,0,
holdout,tr,delay_100,planner_failure,planner_failure,0,0.0,0,
holdout,tr,delay_100,planner_failure,timeout,0,0.0,0,
holdout,tr,delay_100,timeout,success,1,0.05,8,0.125
holdout,tr,delay_100,timeout,collision,0,0.0,8,0.0
holdout,tr,delay_100,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,delay_100,timeout,timeout,7,0.35,8,0.875
holdout,tr,delay_200,success,success,10,0.5,12,0.8333333333333334
holdout,tr,delay_200,success,collision,1,0.05,12,0.08333333333333333
holdout,tr,delay_200,success,planner_failure,1,0.05,12,0.08333333333333333
holdout,tr,delay_200,success,timeout,0,0.0,12,0.0
holdout,tr,delay_200,collision,success,0,0.0,0,
holdout,tr,delay_200,collision,collision,0,0.0,0,
holdout,tr,delay_200,collision,planner_failure,0,0.0,0,
holdout,tr,delay_200,collision,timeout,0,0.0,0,
holdout,tr,delay_200,planner_failure,success,0,0.0,0,
holdout,tr,delay_200,planner_failure,collision,0,0.0,0,
holdout,tr,delay_200,planner_failure,planner_failure,0,0.0,0,
holdout,tr,delay_200,planner_failure,timeout,0,0.0,0,
holdout,tr,delay_200,timeout,success,2,0.1,8,0.25
holdout,tr,delay_200,timeout,collision,0,0.0,8,0.0
holdout,tr,delay_200,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,delay_200,timeout,timeout,6,0.3,8,0.75
holdout,tr,tau_x_100,success,success,11,0.55,12,0.9166666666666666
holdout,tr,tau_x_100,success,collision,0,0.0,12,0.0
holdout,tr,tau_x_100,success,planner_failure,0,0.0,12,0.0
holdout,tr,tau_x_100,success,timeout,1,0.05,12,0.08333333333333333
holdout,tr,tau_x_100,collision,success,0,0.0,0,
holdout,tr,tau_x_100,collision,collision,0,0.0,0,
holdout,tr,tau_x_100,collision,planner_failure,0,0.0,0,
holdout,tr,tau_x_100,collision,timeout,0,0.0,0,
holdout,tr,tau_x_100,planner_failure,success,0,0.0,0,
holdout,tr,tau_x_100,planner_failure,collision,0,0.0,0,
holdout,tr,tau_x_100,planner_failure,planner_failure,0,0.0,0,
holdout,tr,tau_x_100,planner_failure,timeout,0,0.0,0,
holdout,tr,tau_x_100,timeout,success,0,0.0,8,0.0
holdout,tr,tau_x_100,timeout,collision,0,0.0,8,0.0
holdout,tr,tau_x_100,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,tau_x_100,timeout,timeout,8,0.4,8,1.0
holdout,tr,tau_x_300,success,success,12,0.6,12,1.0
holdout,tr,tau_x_300,success,collision,0,0.0,12,0.0
holdout,tr,tau_x_300,success,planner_failure,0,0.0,12,0.0
holdout,tr,tau_x_300,success,timeout,0,0.0,12,0.0
holdout,tr,tau_x_300,collision,success,0,0.0,0,
holdout,tr,tau_x_300,collision,collision,0,0.0,0,
holdout,tr,tau_x_300,collision,planner_failure,0,0.0,0,
holdout,tr,tau_x_300,collision,timeout,0,0.0,0,
holdout,tr,tau_x_300,planner_failure,success,0,0.0,0,
holdout,tr,tau_x_300,planner_failure,collision,0,0.0,0,
holdout,tr,tau_x_300,planner_failure,planner_failure,0,0.0,0,
holdout,tr,tau_x_300,planner_failure,timeout,0,0.0,0,
holdout,tr,tau_x_300,timeout,success,2,0.1,8,0.25
holdout,tr,tau_x_300,timeout,collision,0,0.0,8,0.0
holdout,tr,tau_x_300,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,tau_x_300,timeout,timeout,6,0.3,8,0.75
holdout,tr,tau_y_150,success,success,12,0.6,12,1.0
holdout,tr,tau_y_150,success,collision,0,0.0,12,0.0
holdout,tr,tau_y_150,success,planner_failure,0,0.0,12,0.0
holdout,tr,tau_y_150,success,timeout,0,0.0,12,0.0
holdout,tr,tau_y_150,collision,success,0,0.0,0,
holdout,tr,tau_y_150,collision,collision,0,0.0,0,
holdout,tr,tau_y_150,collision,planner_failure,0,0.0,0,
holdout,tr,tau_y_150,collision,timeout,0,0.0,0,
holdout,tr,tau_y_150,planner_failure,success,0,0.0,0,
holdout,tr,tau_y_150,planner_failure,collision,0,0.0,0,
holdout,tr,tau_y_150,planner_failure,planner_failure,0,0.0,0,
holdout,tr,tau_y_150,planner_failure,timeout,0,0.0,0,
holdout,tr,tau_y_150,timeout,success,1,0.05,8,0.125
holdout,tr,tau_y_150,timeout,collision,0,0.0,8,0.0
holdout,tr,tau_y_150,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,tau_y_150,timeout,timeout,7,0.35,8,0.875
holdout,tr,tau_y_300,success,success,10,0.5,12,0.8333333333333334
holdout,tr,tau_y_300,success,collision,2,0.1,12,0.16666666666666666
holdout,tr,tau_y_300,success,planner_failure,0,0.0,12,0.0
holdout,tr,tau_y_300,success,timeout,0,0.0,12,0.0
holdout,tr,tau_y_300,collision,success,0,0.0,0,
holdout,tr,tau_y_300,collision,collision,0,0.0,0,
holdout,tr,tau_y_300,collision,planner_failure,0,0.0,0,
holdout,tr,tau_y_300,collision,timeout,0,0.0,0,
holdout,tr,tau_y_300,planner_failure,success,0,0.0,0,
holdout,tr,tau_y_300,planner_failure,collision,0,0.0,0,
holdout,tr,tau_y_300,planner_failure,planner_failure,0,0.0,0,
holdout,tr,tau_y_300,planner_failure,timeout,0,0.0,0,
holdout,tr,tau_y_300,timeout,success,0,0.0,8,0.0
holdout,tr,tau_y_300,timeout,collision,0,0.0,8,0.0
holdout,tr,tau_y_300,timeout,planner_failure,0,0.0,8,0.0
holdout,tr,tau_y_300,timeout,timeout,8,0.4,8,1.0
holdout,tr,tau_y_500,success,success,9,0.45,12,0.75
holdout,tr,tau_y_500,success,collision,1,0.05,12,0.08333333333333333
holdout,tr,tau_y_500,success,planner_failure,1,0.05,12,0.08333333333333333
holdout,tr,tau_y_500,success,timeout,1,0.05,12,0.08333333333333333
holdout,tr,tau_y_500,collision,success,0,0.0,0,
