partition,profile_id,metric,n_layouts,preference_change_rate,preference_change_ci_low,preference_change_ci_high,strict_reversal_rate,strict_reversal_ci_low,strict_reversal_ci_high,aggregate_teb_minus_tr_e0,aggregate_teb_minus_tr_profile,aggregate_preference_e0,aggregate_preference_profile,aggregate_preference_flip,tr_to_tr,tr_to_tie,tr_to_teb,tie_to_tr,tie_to_tie,tie_to_teb,teb_to_tr,teb_to_tie,teb_to_teb
discovery,tau_y_500,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.2,teb,teb,false,1,0,0,1,11,0,0,1,6
discovery,tau_y_500,normalized_path_progress,20,0.15,0.0,0.35,0.15,0.0,0.3,0.26379417560393514,0.23949497074480147,teb,teb,false,1,0,2,0,0,0,1,0,16
discovery,tau_w_100,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.35,teb,teb,false,1,0,0,0,11,1,0,0,7
discovery,tau_w_100,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.3005450398455905,teb,teb,false,3,0,0,0,0,0,1,0,16
discovery,tau_w_300,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,11,1,0,1,6
discovery,tau_w_300,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.3017758069088424,teb,teb,false,2,0,1,0,0,0,0,0,17
holdout,delay_050,success,20,0.2,0.05,0.4,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,10,2,0,2,5
holdout,delay_050,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.26332773395454634,teb,teb,false,1,0,2,0,0,0,0,0,17
holdout,delay_100,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,11,1,0,1,6
holdout,delay_100,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.22115138234771944,teb,teb,false,2,0,1,0,0,0,1,0,16
holdout,delay_200,success,20,0.25,0.1,0.45,0.05,0.0,0.15,0.3,0.2,teb,teb,false,0,1,0,0,11,1,1,2,4
holdout,delay_200,normalized_path_progress,20,0.45,0.25,0.65,0.4,0.2,0.6,0.2511286160326749,0.1839356947764533,teb,teb,false,2,0,1,0,0,0,7,1,9
holdout,tau_x_100,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.35,teb,teb,false,1,0,0,0,11,1,0,0,7
holdout,tau_x_100,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.2511286160326749,0.29280615793736103,teb,teb,false,2,0,1,0,0,0,0,0,17
holdout,tau_x_300,success,20,0.15,0.0,0.3,0.0,0.0,0.0,0.3,0.25,teb,teb,false,1,0,0,0,11,1,0,2,5
holdout,tau_x_300,normalized_path_progress,20,0.35,0.15,0.55,0.15,0.0,0.3,0.2511286160326749,0.21657372908441402,teb,teb,false,3,0,0,0,0,0,3,4,10
holdout,tau_y_150,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.25,teb,teb,false,1,0,0,0,12,0,0,1,6
holdout,tau_y_150,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.230065838879018,teb,teb,false,1,0,2,0,0,0,0,0,17
holdout,tau_y_300,success,20,0.15,0.0,0.35,0.0,0.0,0.0,0.3,0.35,teb,teb,false,1,0,0,0,10,2,0,1,6
holdout,tau_y_300,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.3164115534787467,teb,teb,false,1,0,2,0,0,0,0,0,17
holdout,tau_y_500,success,20,0.3,0.1,0.5,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,9,3,0,3,4
holdout,tau_y_500,normalized_path_progress,20,0.15,0.0,0.3,0.15,0.0,0.3,0.2511286160326749,0.2864799701696388,teb,teb,false,1,0,2,0,0,0,1,0,16
holdout,tau_w_100,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.35,teb,teb,false,1,0,0,0,11,1,0,0,7
holdout,tau_w_100,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.29438799301231783,teb,teb,false,1,0,2,0,0,0,0,0,17
holdout,tau_w_300,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,11,1,0,1,6
holdout,tau_w_300,normalized_path_progress,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2511286160326749,0.22923408845207766,teb,teb,false,1,0,2,0,0,0,0,0,17
