partition,planner,profile_id,n_layouts,e0_success_rate,profile_success_rate,success_rate_delta,outcome_flip_rate,outcome_flip_ci_low,outcome_flip_ci_high,outcome_agreement_rate,outcome_agreement_ci_low,outcome_agreement_ci_high,success_to_failure_count,failure_to_success_count,failure_n_e0,failure_n_profile,failure_intersection_n,failure_union_n,failure_jaccard,failure_jaccard_ci_low,failure_jaccard_ci_high,terminal_mode_agreement_rate,hidden_churn_flag,high_stability_flag
holdout,tr,tau_x_300,20,0.6,0.7,0.09999999999999998,0.1,0.0,0.25,0.9,0.75,1.0,0,2,8,6,6,8,0.75,0.4,1.0,0.9,false,false
holdout,tr,tau_y_150,20,0.6,0.65,0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,0,1,8,7,7,8,0.875,0.5995833333333335,1.0,0.95,false,false
holdout,tr,tau_y_300,20,0.6,0.5,-0.09999999999999998,0.1,0.0,0.25,0.9,0.75,1.0,2,0,8,10,8,10,0.8,0.5,1.0,0.9,false,false
holdout,tr,tau_y_500,20,0.6,0.45,-0.14999999999999997,0.15,0.0,0.3,0.85,0.7,1.0,3,0,8,11,8,11,0.7272727272727273,0.42857142857142855,1.0,0.8,false,false
holdout,tr,tau_w_100,20,0.6,0.55,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,8,9,8,9,0.8888888888888888,0.625,1.0,0.95,false,false
holdout,tr,tau_w_300,20,0.6,0.6,0.0,0.1,0.0,0.25,0.9,0.75,1.0,1,1,8,8,7,9,0.7777777777777778,0.5,1.0,0.9,false,false
holdout,teb,delay_050,20,0.9,0.9,0.0,0.1,0.0,0.25,0.9,0.75,1.0,1,1,2,2,1,3,0.3333333333333333,0.0,1.0,0.9,false,false
holdout,teb,delay_100,20,0.9,0.95,0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,0,1,2,1,1,2,0.5,0.0,1.0,0.95,false,false
holdout,teb,delay_200,20,0.9,0.8,-0.09999999999999998,0.1,0.0,0.25,0.9,0.75,1.0,2,0,2,4,2,4,0.5,0.0,1.0,0.9,false,false
holdout,teb,tau_x_100,20,0.9,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,2,2,2,1.0,1.0,1.0,1.0,false,true
holdout,teb,tau_x_300,20,0.9,0.95,0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,0,1,2,1,1,2,0.5,0.0,1.0,0.95,false,false
holdout,teb,tau_y_150,20,0.9,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,2,2,2,1.0,1.0,1.0,1.0,false,true
holdout,teb,tau_y_300,20,0.9,0.85,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,2,3,2,3,0.6666666666666666,0.0,1.0,0.95,false,false
holdout,teb,tau_y_500,20,0.9,0.75,-0.15000000000000002,0.15,0.0,0.3,0.85,0.7,1.0,3,0,2,5,2,5,0.4,0.0,1.0,0.85,false,false
holdout,teb,tau_w_100,20,0.9,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,2,2,2,1.0,1.0,1.0,1.0,false,true
holdout,teb,tau_w_300,20,0.9,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,2,2,2,1.0,1.0,1.0,1.0,false,true
