partition,planner,profile_id,layout_id,e0_success,profile_success,outcome_flip,flip_direction,e0_terminal_mode,profile_terminal_mode,terminal_mode_changed,e0_failure_member,profile_failure_member,e0_normalized_path_progress,profile_normalized_path_progress
discovery,tr,delay_200,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9963589294346314
discovery,tr,delay_200,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9951779877963247
discovery,tr,delay_200,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,1.0
discovery,tr,delay_200,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9984153299834622
discovery,tr,delay_200,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,1.0
discovery,tr,delay_200,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,1.0
discovery,tr,delay_200,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,1.0
discovery,tr,delay_200,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.10797121717203476
discovery,tr,delay_200,discovery_13,true,false,true,success_to_failure,success,collision,true,false,true,0.9882647861567073,0.7933840718487734
discovery,tr,delay_200,discovery_14,false,false,false,unchanged,timeout,collision,true,true,true,0.36949138100561635,0.529923065387448
discovery,tr,delay_200,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9950795174376351
discovery,tr,delay_200,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9957659561591942
discovery,tr,delay_200,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13227847967866307
discovery,tr,delay_200,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9851714285895642
discovery,tr,delay_200,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9989772115309695
discovery,tr,delay_200,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07129452889120762
discovery,tr,tau_x_100,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08408238003303968
discovery,tr,tau_x_100,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09338172338438698
discovery,tr,tau_x_100,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9863221651245061
discovery,tr,tau_x_100,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.1928397773204508
discovery,tr,tau_x_100,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9893942929570991
discovery,tr,tau_x_100,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9851667064612369
discovery,tr,tau_x_100,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9895013234200785
discovery,tr,tau_x_100,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.989630920239581
discovery,tr,tau_x_100,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9877557691490124
discovery,tr,tau_x_100,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9869554299682295
discovery,tr,tau_x_100,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9873093316829097
discovery,tr,tau_x_100,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.1147006550147527
discovery,tr,tau_x_100,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9889457535351055
discovery,tr,tau_x_100,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.36887230774118696
discovery,tr,tau_x_100,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9862469848051562
discovery,tr,tau_x_100,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9899337621161416
discovery,tr,tau_x_100,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13163700187911964
discovery,tr,tau_x_100,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9851178992869863
discovery,tr,tau_x_100,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9868013430558296
discovery,tr,tau_x_100,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07042968636173108
discovery,tr,tau_x_300,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08396941457226752
discovery,tr,tau_x_300,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09172920889998626
discovery,tr,tau_x_300,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9870089974297065
discovery,tr,tau_x_300,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19133447412151425
discovery,tr,tau_x_300,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.998715903835669
discovery,tr,tau_x_300,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9853933638788656
discovery,tr,tau_x_300,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,1.0
discovery,tr,tau_x_300,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9974587453477527
discovery,tr,tau_x_300,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9859043189739974
discovery,tr,tau_x_300,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,1.0
discovery,tr,tau_x_300,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,1.0
discovery,tr,tau_x_300,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.09993464763154958
discovery,tr,tau_x_300,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9973163182844247
discovery,tr,tau_x_300,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.3786587114517276
discovery,tr,tau_x_300,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9854663639286568
discovery,tr,tau_x_300,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9967618575111881
discovery,tr,tau_x_300,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.17909783112892594
discovery,tr,tau_x_300,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9858106863157371
discovery,tr,tau_x_300,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9852452970344283
discovery,tr,tau_x_300,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07027530301454052
discovery,tr,tau_y_150,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08395287747508438
discovery,tr,tau_y_150,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09268114873190736
discovery,tr,tau_y_150,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9872519772763027
discovery,tr,tau_y_150,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19193657382358015
discovery,tr,tau_y_150,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9873381136163534
discovery,tr,tau_y_150,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9855433961621354
discovery,tr,tau_y_150,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9891036855699632
discovery,tr,tau_y_150,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9879766013098403
discovery,tr,tau_y_150,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9860244773787183
discovery,tr,tau_y_150,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9877198573087397
discovery,tr,tau_y_150,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9861944754251738
discovery,tr,tau_y_150,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.10988052497226757
discovery,tr,tau_y_150,discovery_13,true,false,true,success_to_failure,success,timeout,true,false,true,0.9882647861567073,0.195957697900777
discovery,tr,tau_y_150,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.3693201677303209
discovery,tr,tau_y_150,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9853257903120376
discovery,tr,tau_y_150,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9880341425407903
discovery,tr,tau_y_150,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13148128028502445
discovery,tr,tau_y_150,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9859017858862094
discovery,tr,tau_y_150,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9852528955809474
discovery,tr,tau_y_150,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.0713300775665733
discovery,tr,tau_y_300,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08254695040988062
discovery,tr,tau_y_300,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09270841841704232
discovery,tr,tau_y_300,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9863614978432469
discovery,tr,tau_y_300,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19248286945435805
discovery,tr,tau_y_300,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9873370529348843
discovery,tr,tau_y_300,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9855562655710558
discovery,tr,tau_y_300,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9897559082368156
discovery,tr,tau_y_300,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9887978143724124
discovery,tr,tau_y_300,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9859847483648934
discovery,tr,tau_y_300,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9895552733354642
discovery,tr,tau_y_300,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9871330040829649
discovery,tr,tau_y_300,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.10244573985062562
discovery,tr,tau_y_300,discovery_13,true,false,true,success_to_failure,success,timeout,true,false,true,0.9882647861567073,0.9873896136391833
discovery,tr,tau_y_300,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.369588876350553
discovery,tr,tau_y_300,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9858988584399662
discovery,tr,tau_y_300,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9879796275357136
discovery,tr,tau_y_300,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.1321667179181927
discovery,tr,tau_y_300,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9852885383550823
discovery,tr,tau_y_300,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.985490094313907
discovery,tr,tau_y_300,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07151112764225992
discovery,tr,tau_y_500,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08452098861854947
discovery,tr,tau_y_500,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09114957301868917
discovery,tr,tau_y_500,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9873519691217619
discovery,tr,tau_y_500,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19282821237085915
discovery,tr,tau_y_500,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9874209736574373
discovery,tr,tau_y_500,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9855184066361897
discovery,tr,tau_y_500,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9897788269124886
discovery,tr,tau_y_500,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9890070856614828
discovery,tr,tau_y_500,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9861587136909248
discovery,tr,tau_y_500,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9905270032876807
discovery,tr,tau_y_500,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9884132641514465
discovery,tr,tau_y_500,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.10438691587803119
discovery,tr,tau_y_500,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9880686503913716
discovery,tr,tau_y_500,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.36935157719477935
discovery,tr,tau_y_500,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9859283468662037
discovery,tr,tau_y_500,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9879085609898777
discovery,tr,tau_y_500,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.1332471233311293
discovery,tr,tau_y_500,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9855865107049666
discovery,tr,tau_y_500,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9851838474802648
discovery,tr,tau_y_500,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07227199401326247
discovery,tr,tau_w_100,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08869143812670255
discovery,tr,tau_w_100,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.0912597719598476
discovery,tr,tau_w_100,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.987294743114737
discovery,tr,tau_w_100,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19271986023751841
discovery,tr,tau_w_100,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9875980995016898
discovery,tr,tau_w_100,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9858093127953278
discovery,tr,tau_w_100,discovery_07,true,false,true,success_to_failure,success,collision,true,false,true,0.9887736344857319,0.2583911767704233
discovery,tr,tau_w_100,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9876774633560984
discovery,tr,tau_w_100,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9858712265311977
discovery,tr,tau_w_100,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9882231318894398
discovery,tr,tau_w_100,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9863111374165536
discovery,tr,tau_w_100,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.1027741241534741
discovery,tr,tau_w_100,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9878070256485437
discovery,tr,tau_w_100,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.3688401432815428
discovery,tr,tau_w_100,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9855946247617497
discovery,tr,tau_w_100,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9884548375439587
discovery,tr,tau_w_100,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13148641123453755
discovery,tr,tau_w_100,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9860034502588301
discovery,tr,tau_w_100,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9857351963937987
discovery,tr,tau_w_100,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.0715419444099141
discovery,tr,tau_w_300,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08434094646781763
discovery,tr,tau_w_300,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.0911951842877982
discovery,tr,tau_w_300,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9868664359163465
discovery,tr,tau_w_300,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.1922357477429184
discovery,tr,tau_w_300,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9874630691508234
discovery,tr,tau_w_300,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9864945066455176
discovery,tr,tau_w_300,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9898002731465158
discovery,tr,tau_w_300,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.987611646330507
discovery,tr,tau_w_300,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9859317559577723
discovery,tr,tau_w_300,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9900046736473042
discovery,tr,tau_w_300,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9869602096284622
discovery,tr,tau_w_300,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.12207096181963525
discovery,tr,tau_w_300,discovery_13,true,false,true,success_to_failure,success,timeout,true,false,true,0.9882647861567073,0.19577485576210882
discovery,tr,tau_w_300,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.36786176056453423
discovery,tr,tau_w_300,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9854949676667282
discovery,tr,tau_w_300,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9877684851764104
discovery,tr,tau_w_300,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13144212823258086
discovery,tr,tau_w_300,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9853342295500015
discovery,tr,tau_w_300,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9848524618351967
discovery,tr,tau_w_300,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07131347498544273
discovery,teb,delay_050,discovery_01,true,true,false,unchanged,success,success,false,false,false,0.9970158565880489,1.0
discovery,teb,delay_050,discovery_02,true,true,false,unchanged,success,success,false,false,false,0.9870358481422107,0.9874312229158229
discovery,teb,delay_050,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9946971526213895,0.9984717556245517
discovery,teb,delay_050,discovery_04,true,true,false,unchanged,success,success,false,false,false,0.9931335543402906,0.995003629638732
discovery,teb,delay_050,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9866755032061946,0.9872809725238022
discovery,teb,delay_050,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9925204199092578,0.9920777354384628
discovery,teb,delay_050,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9910652476988102,0.9932982309103211
discovery,teb,delay_050,discovery_08,false,false,false,unchanged,planner_failure,planner_failure,false,true,true,0.3093335979515548,0.31209583628927234
discovery,teb,delay_050,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9925309693125509,0.9961528230817733
discovery,teb,delay_050,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9886667760387662,0.9893812039994142
discovery,teb,delay_050,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9868626308701404,0.9888129143277693
discovery,teb,delay_050,discovery_12,true,true,false,unchanged,success,success,false,false,false,0.9926842412706129,0.9915282296834877
discovery,teb,delay_050,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9877659978734831,0.9888984176164395
discovery,teb,delay_050,discovery_14,true,true,false,unchanged,success,success,false,false,false,0.9988762905533715,1.0
discovery,teb,delay_050,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9938275067313717,1.0
discovery,teb,delay_050,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9972175352009836,1.0
discovery,teb,delay_050,discovery_17,true,true,false,unchanged,success,success,false,false,false,0.9865444428462702,0.9872847637562608
discovery,teb,delay_050,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9940801033903307,1.0
discovery,teb,delay_050,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9936099342472615,1.0
discovery,teb,delay_050,discovery_20,true,true,false,unchanged,success,success,false,false,false,0.9944299744048699,0.9981805450565485
discovery,teb,delay_100,discovery_01,true,true,false,unchanged,success,success,false,false,false,0.9970158565880489,1.0
discovery,teb,delay_100,discovery_02,true,true,false,unchanged,success,success,false,false,false,0.9870358481422107,1.0
discovery,teb,delay_100,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9946971526213895,1.0
discovery,teb,delay_100,discovery_04,true,true,false,unchanged,success,success,false,false,false,0.9931335543402906,0.9962838781660792
discovery,teb,delay_100,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9866755032061946,0.9870765286604293
discovery,teb,delay_100,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9925204199092578,0.9960952389074901
discovery,teb,delay_100,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9910652476988102,0.9939345527841313
discovery,teb,delay_100,discovery_08,false,false,false,unchanged,planner_failure,planner_failure,false,true,true,0.3093335979515548,0.30658198125235286
discovery,teb,delay_100,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9925309693125509,0.9953848840968541
discovery,teb,delay_100,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9886667760387662,0.9896639213722982
discovery,teb,delay_100,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9868626308701404,0.9875099403884036
discovery,teb,delay_100,discovery_12,true,true,false,unchanged,success,success,false,false,false,0.9926842412706129,0.9912825729164658
discovery,teb,delay_100,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9877659978734831,0.9888950428916866
