partition,planner,profile_id,metric,n_layouts,estimate,ci_low,ci_high
discovery,tr,delay_050,success,20,0.65,0.45,0.85
discovery,tr,delay_050,normalized_path_progress,20,0.6944165406664564,0.5126605103667059,0.8609947662645691
discovery,tr,delay_050,collision,20,0.0,0.0,0.0
discovery,tr,delay_050,logical_timeout,20,0.35,0.15,0.55
discovery,tr,delay_050,planner_failure,20,0.0,0.0,0.0
discovery,tr,delay_100,success,20,0.65,0.45,0.85
discovery,tr,delay_100,normalized_path_progress,20,0.695346352996641,0.5104155488399599,0.8663542551967292
discovery,tr,delay_100,collision,20,0.0,0.0,0.0
discovery,tr,delay_100,logical_timeout,20,0.35,0.15,0.55
discovery,tr,delay_100,planner_failure,20,0.0,0.0,0.0
discovery,tr,delay_200,success,20,0.6,0.35,0.8
discovery,tr,delay_200,normalized_path_progress,20,0.6981480336183286,0.5148916214357782,0.8618637202815794
discovery,tr,delay_200,collision,20,0.1,0.0,0.25
discovery,tr,delay_200,logical_timeout,20,0.3,0.1,0.5
discovery,tr,delay_200,planner_failure,20,0.0,0.0,0.0
discovery,tr,e0,success,20,0.65,0.45,0.85
discovery,tr,e0,normalized_path_progress,20,0.6941345035559532,0.5128231600995281,0.8653414257503004
discovery,tr,e0,collision,20,0.0,0.0,0.0
discovery,tr,e0,logical_timeout,20,0.35,0.15,0.55
discovery,tr,e0,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_w_100,success,20,0.6,0.4,0.8
discovery,tr,tau_w_100,normalized_path_progress,20,0.6574042559692943,0.4721957419404096,0.8294629229167761
discovery,tr,tau_w_100,collision,20,0.05,0.0,0.15
discovery,tr,tau_w_100,logical_timeout,20,0.35,0.15,0.55
discovery,tr,tau_w_100,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_w_300,success,20,0.6,0.4,0.8
discovery,tr,tau_w_300,normalized_path_progress,20,0.6550408887257211,0.4764239275185672,0.8246442842622698
discovery,tr,tau_w_300,collision,20,0.0,0.0,0.0
discovery,tr,tau_w_300,logical_timeout,20,0.4,0.2,0.6
discovery,tr,tau_w_300,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_x_100,success,20,0.65,0.45,0.85
discovery,tr,tau_x_100,normalized_path_progress,20,0.6947512606768271,0.5092826894718494,0.8592939552558182
discovery,tr,tau_x_100,collision,20,0.0,0.0,0.0
discovery,tr,tau_x_100,logical_timeout,20,0.35,0.15,0.55
discovery,tr,tau_x_100,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_x_300,success,20,0.65,0.45,0.85
discovery,tr,tau_x_300,normalized_path_progress,20,0.7000040721680468,0.5249212455658206,0.871288462247587
discovery,tr,tau_x_300,collision,20,0.0,0.0,0.0
discovery,tr,tau_x_300,logical_timeout,20,0.35,0.15,0.55
discovery,tr,tau_x_300,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_y_150,success,20,0.6,0.4,0.8
discovery,tr,tau_y_150,normalized_path_progress,20,0.6544103773426374,0.4692649877730338,0.8250182002496834
discovery,tr,tau_y_150,collision,20,0.0,0.0,0.0
discovery,tr,tau_y_150,logical_timeout,20,0.4,0.2,0.6
discovery,tr,tau_y_150,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_y_300,success,20,0.6,0.4,0.8
discovery,tr,tau_y_300,normalized_path_progress,20,0.6937989498534252,0.5096717734025149,0.8586630765866304
discovery,tr,tau_y_300,collision,20,0.0,0.0,0.0
discovery,tr,tau_y_300,logical_timeout,20,0.4,0.2,0.6
discovery,tr,tau_y_300,planner_failure,20,0.0,0.0,0.0
discovery,tr,tau_y_500,success,20,0.65,0.45,0.85
discovery,tr,tau_y_500,normalized_path_progress,20,0.6942304271988698,0.508573399509452,0.8655781756270531
discovery,tr,tau_y_500,collision,20,0.0,0.0,0.0
discovery,tr,tau_y_500,logical_timeout,20,0.35,0.15,0.55
discovery,tr,tau_y_500,planner_failure,20,0.0,0.0,0.0
holdout,teb,delay_050,success,20,0.9,0.75,1.0
holdout,teb,delay_050,normalized_path_progress,20,0.9581512544176402,0.9001258956885521,0.995150777616701
holdout,teb,delay_050,collision,20,0.0,0.0,0.0
holdout,teb,delay_050,logical_timeout,20,0.0,0.0,0.0
holdout,teb,delay_050,planner_failure,20,0.1,0.0,0.25
holdout,teb,delay_100,success,20,0.95,0.85,1.0
holdout,teb,delay_100,normalized_path_progress,20,0.9809384506192844,0.9526790225716499,0.9960051457878902
holdout,teb,delay_100,collision,20,0.0,0.0,0.0
holdout,teb,delay_100,logical_timeout,20,0.0,0.0,0.0
holdout,teb,delay_100,planner_failure,20,0.05,0.0,0.15
holdout,teb,delay_200,success,20,0.8,0.6,0.95
holdout,teb,delay_200,normalized_path_progress,20,0.8998681130460533,0.8046825932888393,0.9759642874956431
holdout,teb,delay_200,collision,20,0.0,0.0,0.0
holdout,teb,delay_200,logical_timeout,20,0.0,0.0,0.0
holdout,teb,delay_200,planner_failure,20,0.2,0.05,0.4
holdout,teb,e0,success,20,0.9,0.75,1.0
holdout,teb,e0,normalized_path_progress,20,0.9457802790722043,0.8652116752448321,0.9933426298376352
holdout,teb,e0,collision,20,0.0,0.0,0.0
holdout,teb,e0,logical_timeout,20,0.0,0.0,0.0
holdout,teb,e0,planner_failure,20,0.1,0.0,0.25
holdout,teb,tau_w_100,success,20,0.9,0.75,1.0
holdout,teb,tau_w_100,normalized_path_progress,20,0.9472263762417507,0.8671151372786932,0.9939624787077874
holdout,teb,tau_w_100,collision,20,0.0,0.0,0.0
holdout,teb,tau_w_100,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_w_100,planner_failure,20,0.1,0.0,0.25
holdout,teb,tau_w_300,success,20,0.9,0.75,1.0
holdout,teb,tau_w_300,normalized_path_progress,20,0.946745431744292,0.8645086321310715,0.99501632172576
holdout,teb,tau_w_300,collision,20,0.0,0.0,0.0
holdout,teb,tau_w_300,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_w_300,planner_failure,20,0.1,0.0,0.25
holdout,teb,tau_x_100,success,20,0.9,0.75,1.0
holdout,teb,tau_x_100,normalized_path_progress,20,0.9453692161527668,0.8589204585699711,0.9952297690363306
holdout,teb,tau_x_100,collision,20,0.0,0.0,0.0
holdout,teb,tau_x_100,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_x_100,planner_failure,20,0.1,0.0,0.25
holdout,teb,tau_x_300,success,20,0.95,0.85,1.0
holdout,teb,tau_x_300,normalized_path_progress,20,0.9820255438162778,0.955703305362076,0.9964053133313444
holdout,teb,tau_x_300,collision,20,0.0,0.0,0.0
holdout,teb,tau_x_300,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_x_300,planner_failure,20,0.05,0.0,0.15
holdout,teb,tau_y_150,success,20,0.9,0.75,1.0
holdout,teb,tau_y_150,normalized_path_progress,20,0.9470302218811989,0.8674882240263264,0.9946232759409765
holdout,teb,tau_y_150,collision,20,0.0,0.0,0.0
holdout,teb,tau_y_150,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_y_150,planner_failure,20,0.1,0.0,0.25
holdout,teb,tau_y_300,success,20,0.85,0.7,1.0
holdout,teb,tau_y_300,normalized_path_progress,20,0.9276948324531917,0.8475070999529017,0.9930313325712603
holdout,teb,tau_y_300,collision,20,0.0,0.0,0.0
holdout,teb,tau_y_300,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_y_300,planner_failure,20,0.15,0.0,0.3
holdout,teb,tau_y_500,success,20,0.75,0.55,0.9
holdout,teb,tau_y_500,normalized_path_progress,20,0.8774012900794634,0.7763903730089149,0.9626829388016725
holdout,teb,tau_y_500,collision,20,0.05,0.0,0.15
holdout,teb,tau_y_500,logical_timeout,20,0.0,0.0,0.0
holdout,teb,tau_y_500,planner_failure,20,0.2,0.05,0.4
holdout,tr,delay_050,success,20,0.6,0.4,0.8
holdout,tr,delay_050,normalized_path_progress,20,0.6948235204630941,0.5304088813172079,0.8519642498781674
holdout,tr,delay_050,collision,20,0.0,0.0,0.0
holdout,tr,delay_050,logical_timeout,20,0.4,0.2,0.6
holdout,tr,delay_050,planner_failure,20,0.0,0.0,0.0
holdout,tr,delay_100,success,20,0.65,0.45,0.85
holdout,tr,delay_100,normalized_path_progress,20,0.7597870682715653,0.596673180712938,0.9059311778856851
holdout,tr,delay_100,collision,20,0.0,0.0,0.0
holdout,tr,delay_100,logical_timeout,20,0.35,0.15,0.55
holdout,tr,delay_100,planner_failure,20,0.0,0.0,0.0
holdout,tr,delay_200,success,20,0.6,0.4,0.8
holdout,tr,delay_200,normalized_path_progress,20,0.7159324182696001,0.5632360199379742,0.86594246861281
holdout,tr,delay_200,collision,20,0.05,0.0,0.15
holdout,tr,delay_200,logical_timeout,20,0.3,0.1,0.5
holdout,tr,delay_200,planner_failure,20,0.05,0.0,0.15
holdout,tr,e0,success,20,0.6,0.4,0.8
holdout,tr,e0,normalized_path_progress,20,0.6946516630395292,0.5239897100061212,0.8523432595074818
holdout,tr,e0,collision,20,0.0,0.0,0.0
holdout,tr,e0,logical_timeout,20,0.4,0.2,0.6
holdout,tr,e0,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_w_100,success,20,0.55,0.35,0.75
holdout,tr,tau_w_100,normalized_path_progress,20,0.652838383229433,0.48427346393824466,0.8160512431824162
holdout,tr,tau_w_100,collision,20,0.0,0.0,0.0
holdout,tr,tau_w_100,logical_timeout,20,0.45,0.25,0.65
holdout,tr,tau_w_100,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_w_300,success,20,0.6,0.4,0.8
holdout,tr,tau_w_300,normalized_path_progress,20,0.7175113432922144,0.5497815948912855,0.8729427725081251
holdout,tr,tau_w_300,collision,20,0.0,0.0,0.0
holdout,tr,tau_w_300,logical_timeout,20,0.4,0.2,0.6
holdout,tr,tau_w_300,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_x_100,success,20,0.55,0.35,0.75
holdout,tr,tau_x_100,normalized_path_progress,20,0.6525630582154058,0.483983934923969,0.8156824298763159
holdout,tr,tau_x_100,collision,20,0.0,0.0,0.0
holdout,tr,tau_x_100,logical_timeout,20,0.45,0.25,0.65
holdout,tr,tau_x_100,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_x_300,success,20,0.7,0.5,0.9
holdout,tr,tau_x_300,normalized_path_progress,20,0.7654518147318639,0.6005384831909376,0.9201018452913137
holdout,tr,tau_x_300,collision,20,0.0,0.0,0.0
holdout,tr,tau_x_300,logical_timeout,20,0.3,0.1,0.5
holdout,tr,tau_x_300,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_y_150,success,20,0.65,0.45,0.85
holdout,tr,tau_y_150,normalized_path_progress,20,0.7169643830021811,0.5480739532517025,0.8718888560344391
holdout,tr,tau_y_150,collision,20,0.0,0.0,0.0
holdout,tr,tau_y_150,logical_timeout,20,0.35,0.15,0.55
holdout,tr,tau_y_150,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_y_300,success,20,0.5,0.3,0.7
holdout,tr,tau_y_300,normalized_path_progress,20,0.6112832789744449,0.4410482706662158,0.7793035837055685
holdout,tr,tau_y_300,collision,20,0.1,0.0,0.25
holdout,tr,tau_y_300,logical_timeout,20,0.4,0.2,0.6
holdout,tr,tau_y_300,planner_failure,20,0.0,0.0,0.0
holdout,tr,tau_y_500,success,20,0.45,0.25,0.65
holdout,tr,tau_y_500,normalized_path_progress,20,0.5909213199098247,0.4250712492483874,0.7548636890123703
holdout,tr,tau_y_500,collision,20,0.1,0.0,0.25
holdout,tr,tau_y_500,logical_timeout,20,0.4,0.2,0.6
holdout,tr,tau_y_500,planner_failure,20,0.05,0.0,0.15
