partition,planner,profile_id,metric,contrast,n_layouts,estimate,ci_low,ci_high
holdout,tr,tau_x_100,success,profile_minus_e0,20,-0.05,-0.15,0.0
holdout,tr,tau_x_100,normalized_path_progress,profile_minus_e0,20,-0.04208860482412351,-0.127244418624542,0.0007353062921689567
holdout,tr,tau_x_300,success,profile_minus_e0,20,0.1,0.0,0.25
holdout,tr,tau_x_300,normalized_path_progress,profile_minus_e0,20,0.0708001516923346,0.004935195607207308,0.17667969215295906
holdout,tr,tau_y_150,success,profile_minus_e0,20,0.05,0.0,0.15
holdout,tr,tau_y_150,normalized_path_progress,profile_minus_e0,20,0.022312719962651818,-0.00038083793890830893,0.06731687107099836
holdout,tr,tau_y_300,success,profile_minus_e0,20,-0.1,-0.25,0.0
holdout,tr,tau_y_300,normalized_path_progress,profile_minus_e0,20,-0.0833683840650843,-0.2118016652931213,0.000257153600756473
holdout,tr,tau_y_500,success,profile_minus_e0,20,-0.15,-0.3,0.0
holdout,tr,tau_y_500,normalized_path_progress,profile_minus_e0,20,-0.10373034312970457,-0.23020073297021526,0.0025295169694971474
holdout,tr,tau_w_100,success,profile_minus_e0,20,-0.05,-0.15,0.0
holdout,tr,tau_w_100,normalized_path_progress,profile_minus_e0,20,-0.04181327981009626,-0.12702941359170006,0.0013278880408490077
holdout,tr,tau_w_300,success,profile_minus_e0,20,0.0,-0.15,0.15
holdout,tr,tau_w_300,normalized_path_progress,profile_minus_e0,20,0.022859680252685276,-0.00030110013296141765,0.06812153193929651
holdout,teb,delay_050,success,profile_minus_e0,20,0.0,-0.15,0.15
holdout,teb,delay_050,normalized_path_progress,profile_minus_e0,20,0.012370975345436274,-0.06755754736287949,0.10318864525434403
holdout,teb,delay_100,success,profile_minus_e0,20,0.05,0.0,0.15
holdout,teb,delay_100,normalized_path_progress,profile_minus_e0,20,0.03515817154708043,-0.0006733952465643506,0.1043976654608184
holdout,teb,delay_200,success,profile_minus_e0,20,-0.1,-0.25,0.0
holdout,teb,delay_200,normalized_path_progress,profile_minus_e0,20,-0.04591216602615072,-0.11356644133068643,0.0026902996570938777
holdout,teb,tau_x_100,success,profile_minus_e0,20,0.0,0.0,0.0
holdout,teb,tau_x_100,normalized_path_progress,profile_minus_e0,20,-0.00041106291943737163,-0.007654363652099054,0.0043191382590653795
holdout,teb,tau_x_300,success,profile_minus_e0,20,0.05,0.0,0.15
holdout,teb,tau_x_300,normalized_path_progress,profile_minus_e0,20,0.03624526474407373,0.0016852296234262268,0.10444112288150471
holdout,teb,tau_y_150,success,profile_minus_e0,20,0.0,0.0,0.0
holdout,teb,tau_y_150,normalized_path_progress,profile_minus_e0,20,0.0012499428089949248,-0.0014533017638352116,0.0038112292216907835
holdout,teb,tau_y_300,success,profile_minus_e0,20,-0.05,-0.15,0.0
holdout,teb,tau_y_300,normalized_path_progress,profile_minus_e0,20,-0.0180854466190124,-0.059314365772678075,0.00418949102918194
holdout,teb,tau_y_500,success,profile_minus_e0,20,-0.15,-0.3,0.0
holdout,teb,tau_y_500,normalized_path_progress,profile_minus_e0,20,-0.06837898899274071,-0.14797586996592363,-0.0008052427834355247
holdout,teb,tau_w_100,success,profile_minus_e0,20,0.0,0.0,0.0
holdout,teb,tau_w_100,normalized_path_progress,profile_minus_e0,20,0.0014460971695466535,0.00040168119215536945,0.00260387872256941
holdout,teb,tau_w_300,success,profile_minus_e0,20,0.0,0.0,0.0
holdout,teb,tau_w_300,normalized_path_progress,profile_minus_e0,20,0.0009651526720880238,-0.001496843738293458,0.002962731096610836
